score,title,word,sentence
13,Goldilocks and the Three Bears,bear,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ Soon after this the three bears returned  ~newline~ Father bear looked down on his bowl  ~newline~ Mother bear looked down on her bowl  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair  ~newline~  And someone s been sitting in mine too   said Mother bear  ~newline~ Father bear noticed that his bed was all rumpled and crumpled  ~newline~ Mother bear noticed the same  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
10,Goldilocks and the Three Bears,someone, And someone s been eating my porridge too   she said  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair  ~newline~  And someone s been sitting in mine too   said Mother bear  ~newline~  And someone s broken my chair   Baby Bear sobbed  ~newline~  And someone s been sleeping in my bed too   she said  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears  ~newline~ Goldilocks never sneaked into someone else s house ever again 
10,Goldilocks and the Three Bears,bed, Perhaps I should lie down instead   She went into the bedroom  ~newline~ First she tried the big bed  but the head of the bed was too high and it sloped down too much  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much  ~newline~ Finally she tried the small bed and it was just right so she lay down and fell asleep  ~newline~  And someone s broken my chair   Baby Bear sobbed  ~newline~ They went into the bedroom  looking for the intruder  ~newline~ Father bear noticed that his bed was all rumpled and crumpled  ~newline~  Someone s been sleeping in my bed   he roared  ~newline~  And someone s been sleeping in my bed too   she said  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears  ~newline~ She jumped out of bed then jumped out of the window and ran all the way home 
9,Goldilocks and the Three Bears,tried,First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ First she tried the big chair but it was too hard  ~newline~ Next she tried the middle size chair but it was too soft and then she tried the small chair but she was too heavy for it and it broke  ~newline~ First she tried the big bed  but the head of the bed was too high and it sloped down too much  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much  ~newline~ Finally she tried the small bed and it was just right so she lay down and fell asleep 
7,Goldilocks and the Three Bears,porridge,One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ She was hungry and when she smelt the porridge she thought   That smells good   She looked through the window and saw the porridge on the table  ~newline~ First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~  Someone s been eating my porridge   he growled  ~newline~  And someone s been eating my porridge too   she said  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair 
6,Goldilocks and the Three Bears,chair,First she tried the big chair but it was too hard  ~newline~ Next she tried the middle size chair but it was too soft and then she tried the small chair but she was too heavy for it and it broke  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair  ~newline~  Someone s been sitting in my chair   he growled ever louder  ~newline~  And someone s broken my chair   Baby Bear sobbed 
6,Goldilocks and the Three Bears,three,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ Soon after this the three bears returned  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
5,Goldilocks and the Three Bears,bowl,One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ Father bear looked down on his bowl  ~newline~ Mother bear looked down on her bowl 
5,Goldilocks and the Three Bears,mother,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear 
5,Goldilocks and the Three Bears,bears,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ Soon after this the three bears returned  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
4,Goldilocks and the Three Bears,thought,She was hungry and when she smelt the porridge she thought   That smells good   She looked through the window and saw the porridge on the table  ~newline~  Perhaps I can help myself to some   she thought  ~newline~  Now I think I need to sit down   she thought  ~newline~  Oh well   she thought 
4,Goldilocks and the Three Bears,baby,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair 
4,Goldilocks and the Three Bears,father,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear 
4,Goldilocks and the Three Bears,cottage,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ While they were away a girl came passed the cottage  her hair was golden and her name was Goldilocks  ~newline~ And so she opened the cottage door and sneaked in 
4,Goldilocks and the Three Bears,goldilocks,
3,Goldilocks and the Three Bears,sleeping, Someone s been sleeping in my bed   he roared  ~newline~  And someone s been sleeping in my bed too   she said  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
3,Goldilocks and the Three Bears,said, And someone s been eating my porridge too   she said  ~newline~  And someone s been sitting in mine too   said Mother bear  ~newline~  And someone s been sleeping in my bed too   she said 
3,Goldilocks and the Three Bears,eating, Someone s been eating my porridge   he growled  ~newline~  And someone s been eating my porridge too   she said  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair 
3,Goldilocks and the Three Bears,right,Crown copyright  ~newline~ First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ Finally she tried the small bed and it was just right so she lay down and fell asleep  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
3,Goldilocks and the Three Bears,big,First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ First she tried the big chair but it was too hard  ~newline~ First she tried the big bed  but the head of the bed was too high and it sloped down too much 
3,Goldilocks and the Three Bears,first,
3,Goldilocks and the Three Bears,looked,She was hungry and when she smelt the porridge she thought   That smells good   She looked through the window and saw the porridge on the table  ~newline~ Father bear looked down on his bowl  ~newline~ Mother bear looked down on her bowl 
3,Goldilocks and the Three Bears,went,One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~  Perhaps I should lie down instead   She went into the bedroom  ~newline~ They went into the bedroom  looking for the intruder 
3,Goldilocks and the Three Bears,middle,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear  ~newline~ First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ Next she tried the middle size chair but it was too soft and then she tried the small chair but she was too heavy for it and it broke  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much 
2,Goldilocks and the Three Bears,jumped,She jumped out of bed then jumped out of the window and ran all the way home 
2,Goldilocks and the Three Bears,noticed,Father bear noticed that his bed was all rumpled and crumpled  ~newline~ Mother bear noticed the same 
2,Goldilocks and the Three Bears,ever, Someone s been sitting in my chair   he growled ever louder  ~newline~ Goldilocks never sneaked into someone else s house ever again 
2,Goldilocks and the Three Bears,sitting, Someone s been sitting in my chair   he growled ever louder  ~newline~  And someone s been sitting in mine too   said Mother bear 
2,Goldilocks and the Three Bears,growled, Someone s been eating my porridge   he growled  ~newline~  Someone s been sitting in my chair   he growled ever louder 
2,Goldilocks and the Three Bears,much,First she tried the big bed  but the head of the bed was too high and it sloped down too much  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much 
2,Goldilocks and the Three Bears,sloped,First she tried the big bed  but the head of the bed was too high and it sloped down too much  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much 
2,Goldilocks and the Three Bears,high,First she tried the big bed  but the head of the bed was too high and it sloped down too much  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much 
2,Goldilocks and the Three Bears,bedroom, Perhaps I should lie down instead   She went into the bedroom  ~newline~ They went into the bedroom  looking for the intruder 
2,Goldilocks and the Three Bears,small,First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ Next she tried the middle size chair but it was too soft and then she tried the small chair but she was too heavy for it and it broke  ~newline~ Finally she tried the small bed and it was just right so she lay down and fell asleep 
2,Goldilocks and the Three Bears,size,First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up  ~newline~ Next she tried the middle size chair but it was too soft and then she tried the small chair but she was too heavy for it and it broke  ~newline~ Then she tried the middle size bed but the foot of the bed was too high and it sloped up too much 
2,Goldilocks and the Three Bears,next,
2,Goldilocks and the Three Bears,mmm,
2,Goldilocks and the Three Bears,home, Hello   she called   Anyone in   But there was no one home  ~newline~ She jumped out of bed then jumped out of the window and ran all the way home 
2,Goldilocks and the Three Bears,sneaked,And so she opened the cottage door and sneaked in  ~newline~ Goldilocks never sneaked into someone else s house ever again 
2,Goldilocks and the Three Bears,opened,And so she opened the cottage door and sneaked in  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears 
2,Goldilocks and the Three Bears,perhaps,
2,Goldilocks and the Three Bears,window,She was hungry and when she smelt the porridge she thought   That smells good   She looked through the window and saw the porridge on the table  ~newline~ She jumped out of bed then jumped out of the window and ran all the way home 
2,Goldilocks and the Three Bears,hot,One morning Mother bear made porridge and served it up in three bowls but it was too hot to eat so the three bears went out for a walk while it cooled  ~newline~ First she tried the porridge in the big bowl   Mmm  too hot   Next she tried the middlesize bowl   Mmm  too cold   And then she tried the third bowl  the smallest and it was just right so she ate it all up 
2,Goldilocks and the Three Bears,one, Hello   she called   Anyone in   But there was no one home  ~newline~  Someone s been eating my porridge   he growled  ~newline~  And someone s been eating my porridge too   she said  ~newline~ And then baby bear cried   And someone s been eating my porridge and at it s all gone   Father bear turned to his chair  ~newline~  Someone s been sitting in my chair   he growled ever louder  ~newline~  And someone s been sitting in mine too   said Mother bear  ~newline~  And someone s broken my chair   Baby Bear sobbed  ~newline~  Someone s been sleeping in my bed   he roared  ~newline~  And someone s been sleeping in my bed too   she said  ~newline~  There s someone in my bed sleeping right now   Goldilocks opened her eyes and screamed with terror at the sight of the three angry bears  ~newline~ Goldilocks never sneaked into someone else s house ever again 
2,Goldilocks and the Three Bears,forest,SM EB     Goldilocks and the three bears  Once upon a time there was a forest and in the middle of that forest was a cottage and in the cottage lived three bears  a father bear  a mother bear and a baby bear 
1,Goldilocks and the Three Bears,house,Goldilocks never sneaked into someone else s house ever again 
1,Goldilocks and the Three Bears,else,Goldilocks never sneaked into someone else s house ever again 
1,Goldilocks and the Three Bears,never,Goldilocks never sneaked into someone else s house ever again 
1,Goldilocks and the Three Bears,way,While they were away a girl came passed the cottage  her hair was golden and her name was Goldilocks  ~newline~ She jumped out of bed then jumped out of the window and ran all the way home 
1,Goldilocks and the Three Bears,ran,Created with support from the Transformation Fund  ~newline~ She jumped out of bed then jumped out of the window and ran all the way home 
