score,title,word,sentence
14,redRidingHood,girl,Every day the poor girl would sit beside the spring and spin and spin  until her fingers bled  ~newline~ In the doorway sat an old woman who had such large teeth that the girl felt afraid of her and turned to run away  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~ After the girl had stayed a long time with the kind old woman  she began to feel homesick  ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ The lazy girl did not spin fast enough to make her fingers bleed  ~newline~ The ugly girl found herself in a beautiful field  just as her sister had  ~newline~ But the lazy girl said to the brown loaves   I will not  ~newline~  I will not   said the girl   for some of your apples might fall on my head   ~newline~ At last the girl stood before the door of Mother Frost s house  ~newline~ For a whole day the girl was very busy  and did everything that she was told to do  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower  ~newline~ The idle girl walked home  covered with pitch  ~newline~ The pitch stuck so fast to the girl that  as long as she lived  it never came off 
12,redRidingHood,mother,The mother loved only the ugly one  for she was her own child  ~newline~ With tears in her eyes  she ran and told her stepmother what she had done  ~newline~ The stepmother was angry and said   You let the spindle fall into the spring  ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ The mother could hardly wait to have her own child try her luck in the same way 
10,redRidingHood,frost,
8,redRidingHood,cried,The loaves cried to her   Oh  pull us out  ~newline~ cried the maiden  ~newline~ The tree cried   Shake me  ~newline~ cried the maiden  ~newline~ Then the old woman cried   What do you fear  my child  ~newline~ She was not far from her own home  and as she came into the farmyard  a cock on the roof cried loudly   Cock a doodle doo  ~newline~ it cried   for my apples are quite ripe   ~newline~ When she went into the farmyard the cock on the roof cried out   Cock a doodle doo 
8,redRidingHood,walked,As she walked across the field  she came to a baker s oven full of new bread  ~newline~ As she walked along  she came to a tree full of apples  ~newline~ When she had picked up all the apples  she walked on  ~newline~ She walked along the same path until she came to the baker s oven  ~newline~ Then she walked on until she came to the apple tree  ~newline~ As she spoke  she walked lazily on  ~newline~ She had no fear of Mother Frost s great teeth  but walked right up to the old woman and offered to be her servant  ~newline~ The idle girl walked home  covered with pitch 
8,redRidingHood,maiden,The maiden went back to the spring to look for the spindle  ~newline~ cried the maiden  ~newline~ cried the maiden  ~newline~ The old woman spoke so kindly that she won the maiden s heart  ~newline~ She took the maiden by the hand and led her to a broad gateway  ~newline~ The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ Then the gate was closed  and the maiden found herself once more in the world  ~newline~ Then the maiden told how the gold had fallen upon her 
8,redRidingHood,said,The stepmother was angry and said   You let the spindle fall into the spring  ~newline~  I will gladly work for you   she said  ~newline~ At length she said   Dear Mother Frost  you have been very kind to me  but I should like to go home to my friends   ~newline~  I am pleased to hear you say that you wish to go home   said Mother Frost  ~newline~  That is your pay for having worked so hard   said the old woman  ~newline~ But the lazy girl said to the brown loaves   I will not  ~newline~  I will not   said the girl   for some of your apples might fall on my head   ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
8,redRidingHood,spring,Mother Frost At the edge of a wood there was a great  clear  bubbling spring of cold water  ~newline~ Near this spring lived a widow and her two daughters  ~newline~ Every day the poor girl would sit beside the spring and spin and spin  until her fingers bled  ~newline~ One day  while she was washing the blood from her hands  the spindle fell into the spring and sank to the bottom  ~newline~ The stepmother was angry and said   You let the spindle fall into the spring  ~newline~ The maiden went back to the spring to look for the spindle  ~newline~  And here is your spindle that fell into the spring   ~newline~ This time she made the idle daughter go to the spring and spin 
7,redRidingHood,woman,In the doorway sat an old woman who had such large teeth that the girl felt afraid of her and turned to run away  ~newline~ Then the old woman cried   What do you fear  my child  ~newline~ The old woman spoke so kindly that she won the maiden s heart  ~newline~ After the girl had stayed a long time with the kind old woman  she began to feel homesick  ~newline~  That is your pay for having worked so hard   said the old woman  ~newline~ She had no fear of Mother Frost s great teeth  but walked right up to the old woman and offered to be her servant  ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
7,redRidingHood,old,Mother Frost At the edge of a wood there was a great  clear  bubbling spring of cold water  ~newline~ With tears in her eyes  she ran and told her stepmother what she had done  ~newline~ In the doorway sat an old woman who had such large teeth that the girl felt afraid of her and turned to run away  ~newline~ Then the old woman cried   What do you fear  my child  ~newline~ The old woman spoke so kindly that she won the maiden s heart  ~newline~ After the girl had stayed a long time with the kind old woman  she began to feel homesick  ~newline~ The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ It clung to her clothes  so that she was dressed in gold from her head to her feet  ~newline~  That is your pay for having worked so hard   said the old woman  ~newline~ Our golden lady has come home  too   ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ Then the maiden told how the gold had fallen upon her  ~newline~ She had no fear of Mother Frost s great teeth  but walked right up to the old woman and offered to be her servant  ~newline~ For a whole day the girl was very busy  and did everything that she was told to do  ~newline~ At last Mother Frost grew tired of her and told her that she must go away  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower  ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
7,redRidingHood,came,As she walked across the field  she came to a baker s oven full of new bread  ~newline~ As she walked along  she came to a tree full of apples  ~newline~ At last she came to a small house  ~newline~ She was not far from her own home  and as she came into the farmyard  a cock on the roof cried loudly   Cock a doodle doo  ~newline~ She walked along the same path until she came to the baker s oven  ~newline~ Then she walked on until she came to the apple tree  ~newline~ The pitch stuck so fast to the girl that  as long as she lived  it never came off 
6,redRidingHood,home,After the girl had stayed a long time with the kind old woman  she began to feel homesick  ~newline~ At length she said   Dear Mother Frost  you have been very kind to me  but I should like to go home to my friends   ~newline~  I am pleased to hear you say that you wish to go home   said Mother Frost  ~newline~ She was not far from her own home  and as she came into the farmyard  a cock on the roof cried loudly   Cock a doodle doo  ~newline~ Our golden lady has come home  too   ~newline~ The idle girl walked home  covered with pitch  ~newline~ Our sticky lady has come home  too  
6,redRidingHood,apples,As she walked along  she came to a tree full of apples  ~newline~ my apples are all quite ripe   ~newline~ Then she picked up the apples  one by one  and piled them in a great heap  ~newline~ When she had picked up all the apples  she walked on  ~newline~ it cried   for my apples are quite ripe   ~newline~  I will not   said the girl   for some of your apples might fall on my head  
6,redRidingHood,day,Every day the poor girl would sit beside the spring and spin and spin  until her fingers bled  ~newline~ One day  while she was washing the blood from her hands  the spindle fell into the spring and sank to the bottom  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~ For a whole day the girl was very busy  and did everything that she was told to do  ~newline~ On the second day she began to be lazy  and on the third day she was still worse 
5,redRidingHood,shake,shake me  ~newline~ You must shake it and pound it so that the feathers will fly about  ~newline~ shake me   ~newline~ The bed was never made  or shaken  so the feathers could fly about 
5,redRidingHood,go,Now you must go and get it out   ~newline~ At length she said   Dear Mother Frost  you have been very kind to me  but I should like to go home to my friends   ~newline~  I am pleased to hear you say that you wish to go home   said Mother Frost  ~newline~ The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ It clung to her clothes  so that she was dressed in gold from her head to her feet  ~newline~ Our golden lady has come home  too   ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ Then the maiden told how the gold had fallen upon her  ~newline~ This time she made the idle daughter go to the spring and spin  ~newline~ At last Mother Frost grew tired of her and told her that she must go away  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower 
5,redRidingHood,spindle,One day  while she was washing the blood from her hands  the spindle fell into the spring and sank to the bottom  ~newline~ The stepmother was angry and said   You let the spindle fall into the spring  ~newline~ The maiden went back to the spring to look for the spindle  ~newline~  And here is your spindle that fell into the spring   ~newline~ So she pricked her finger with a thorn until a few drops of blood stained the spindle 
5,redRidingHood,work,She cared so little for the other daughter that she made her do all the hard work  ~newline~ If you will do the work about the house  I will be very kind to you  ~newline~  I will gladly work for you   she said  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~  You have worked for me so well that I will show you the way myself   ~newline~  That is your pay for having worked so hard   said the old woman  ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
5,redRidingHood,one,The mother loved only the ugly one  for she was her own child  ~newline~ With tears in her eyes  she ran and told her stepmother what she had done  ~newline~ Then she picked up the apples  one by one  and piled them in a great heap 
5,redRidingHood,great,Mother Frost At the edge of a wood there was a great  clear  bubbling spring of cold water  ~newline~ One of them was very beautiful and a great help about the house  while the other was ugly and idle  ~newline~ Then she picked up the apples  one by one  and piled them in a great heap  ~newline~ She had no fear of Mother Frost s great teeth  but walked right up to the old woman and offered to be her servant  ~newline~ Mother Frost led her to the great gate  but she passed under it  a kettle full of black pitch was upset over her 
4,redRidingHood,lazy,The lazy girl did not spin fast enough to make her fingers bleed  ~newline~ But the lazy girl said to the brown loaves   I will not  ~newline~ On the second day she began to be lazy  and on the third day she was still worse  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower 
4,redRidingHood,cock,She was not far from her own home  and as she came into the farmyard  a cock on the roof cried loudly   Cock a doodle doo  ~newline~ When she went into the farmyard the cock on the roof cried out   Cock a doodle doo 
4,redRidingHood,gate,She took the maiden by the hand and led her to a broad gateway  ~newline~ The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ Then the gate was closed  and the maiden found herself once more in the world  ~newline~ Mother Frost led her to the great gate  but she passed under it  a kettle full of black pitch was upset over her  ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
4,redRidingHood,kind,If you will do the work about the house  I will be very kind to you  ~newline~ The old woman spoke so kindly that she won the maiden s heart  ~newline~ After the girl had stayed a long time with the kind old woman  she began to feel homesick  ~newline~ At length she said   Dear Mother Frost  you have been very kind to me  but I should like to go home to my friends   ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her 
4,redRidingHood,tree,As she walked along  she came to a tree full of apples  ~newline~ The tree cried   Shake me  ~newline~ So she shook the tree again and again  until there was not an apple left on its branches  ~newline~ Then she walked on until she came to the apple tree 
4,redRidingHood,us,One of them was very beautiful and a great help about the house  while the other was ugly and idle  ~newline~ Now you must go and get it out   ~newline~ The loaves cried to her   Oh  pull us out  ~newline~ pull us out  or we shall burn   ~newline~ At last she came to a small house  ~newline~ If you will do the work about the house  I will be very kind to you  ~newline~ You must shake it and pound it so that the feathers will fly about  ~newline~ The ugly girl found herself in a beautiful field  just as her sister had  ~newline~ She heard the loaves cry   Pull us out  ~newline~ pull us out  or we shall burn   ~newline~ At last the girl stood before the door of Mother Frost s house  ~newline~ For a whole day the girl was very busy  and did everything that she was told to do  ~newline~ At last Mother Frost grew tired of her and told her that she must go away 
4,redRidingHood,pull,The loaves cried to her   Oh  pull us out  ~newline~ pull us out  or we shall burn   ~newline~ Stepping up  she pulled all the sweet brown loaves out of the oven  ~newline~ pull us out  or we shall burn  
4,redRidingHood,loaves,The loaves cried to her   Oh  pull us out  ~newline~ Stepping up  she pulled all the sweet brown loaves out of the oven  ~newline~ She heard the loaves cry   Pull us out  ~newline~ But the lazy girl said to the brown loaves   I will not 
4,redRidingHood,oven,As she walked across the field  she came to a baker s oven full of new bread  ~newline~ Stepping up  she pulled all the sweet brown loaves out of the oven  ~newline~ She walked along the same path until she came to the baker s oven  ~newline~ I do not want to soil my hands in your dirty oven  
4,redRidingHood,told,With tears in her eyes  she ran and told her stepmother what she had done  ~newline~ Then the maiden told how the gold had fallen upon her  ~newline~ For a whole day the girl was very busy  and did everything that she was told to do  ~newline~ At last Mother Frost grew tired of her and told her that she must go away 
4,redRidingHood,spin,Every day the poor girl would sit beside the spring and spin and spin  until her fingers bled  ~newline~ One day  while she was washing the blood from her hands  the spindle fell into the spring and sank to the bottom  ~newline~ The stepmother was angry and said   You let the spindle fall into the spring  ~newline~ The maiden went back to the spring to look for the spindle  ~newline~  And here is your spindle that fell into the spring   ~newline~ This time she made the idle daughter go to the spring and spin  ~newline~ The lazy girl did not spin fast enough to make her fingers bleed  ~newline~ So she pricked her finger with a thorn until a few drops of blood stained the spindle 
4,redRidingHood,house,One of them was very beautiful and a great help about the house  while the other was ugly and idle  ~newline~ At last she came to a small house  ~newline~ If you will do the work about the house  I will be very kind to you  ~newline~ At last the girl stood before the door of Mother Frost s house 
3,redRidingHood,pitch,Mother Frost led her to the great gate  but she passed under it  a kettle full of black pitch was upset over her  ~newline~ The idle girl walked home  covered with pitch  ~newline~ The pitch stuck so fast to the girl that  as long as she lived  it never came off 
3,redRidingHood,golden,Our golden lady has come home  too   ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower 
3,redRidingHood,gold,The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ It clung to her clothes  so that she was dressed in gold from her head to her feet  ~newline~ Our golden lady has come home  too   ~newline~ When the stepmother saw the girl with her golden dress  she was kind to her  ~newline~ Then the maiden told how the gold had fallen upon her  ~newline~ This was what the lazy girl wanted  for she felt sure that now she would have the golden shower 
3,redRidingHood,could,She could not help it  though her life with Mother Frost had been so happy  ~newline~ The mother could hardly wait to have her own child try her luck in the same way  ~newline~ The bed was never made  or shaken  so the feathers could fly about 
3,redRidingHood,never,She was very happy with Mother Frost  who never spoke an angry word  ~newline~ The bed was never made  or shaken  so the feathers could fly about  ~newline~ The pitch stuck so fast to the girl that  as long as she lived  it never came off 
3,redRidingHood,spoke,The old woman spoke so kindly that she won the maiden s heart  ~newline~ She was very happy with Mother Frost  who never spoke an angry word  ~newline~ As she spoke  she walked lazily on 
3,redRidingHood,feathers,You must shake it and pound it so that the feathers will fly about  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~ The bed was never made  or shaken  so the feathers could fly about 
3,redRidingHood,well,Only take care to make my bed well  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~  You have worked for me so well that I will show you the way myself  
3,redRidingHood,bed,Only take care to make my bed well  ~newline~ The girl did her work well  and each day she shook up the bed until the feathers flew about like snowflakes  ~newline~ The bed was never made  or shaken  so the feathers could fly about 
3,redRidingHood,come,Our golden lady has come home  too   ~newline~ Our sticky lady has come home  too  
3,redRidingHood,last,At last she came to a small house  ~newline~ At last the girl stood before the door of Mother Frost s house  ~newline~ At last Mother Frost grew tired of her and told her that she must go away 
3,redRidingHood,full,As she walked across the field  she came to a baker s oven full of new bread  ~newline~ As she walked along  she came to a tree full of apples  ~newline~ Mother Frost led her to the great gate  but she passed under it  a kettle full of black pitch was upset over her 
3,redRidingHood,field,All at once she found that she was in a beautiful field where many wild flowers grew  ~newline~ As she walked across the field  she came to a baker s oven full of new bread  ~newline~ The ugly girl found herself in a beautiful field  just as her sister had 
3,redRidingHood,found,All at once she found that she was in a beautiful field where many wild flowers grew  ~newline~ Then the gate was closed  and the maiden found herself once more in the world  ~newline~ The ugly girl found herself in a beautiful field  just as her sister had 
3,redRidingHood,went,The maiden went back to the spring to look for the spindle  ~newline~ The gate was open  and as she went through a shower of gold fell over the maiden  ~newline~ When she went into the farmyard the cock on the roof cried out   Cock a doodle doo 
3,redRidingHood,get,Now you must go and get it out   ~newline~ She would not get up in the morning  ~newline~  That is what you get for your work   said the old woman  as she shut the gate 
