score,title,word,sentence
33,The King's New Clothes,emperor, Indeed  your Imperial Majesty   he said to his emperor when he returned 
15,The King's New Clothes,see,When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~  He will be best able to see how the cloth looks  ~newline~ He could not see anything on the looms for a very good reason  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~ The Emperor soon sent another man from his court to see how the weavers were getting on  ~newline~ He could see nothing at all but the empty frames  ~newline~ However  no one shall know anything about it   And so he praised the stuff he could not see  ~newline~ Finally  the Emperor himself wished to see the costly material while it was still in the loom  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~  I can see nothing  ~newline~ No way would he say that he could not see what two of his advisors had praised so much  ~newline~ Everyone with the Emperor now strained his or her eyes hoping to discover something on the looms  but they could see no more than the others  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
15,The King's New Clothes,cloth, I should like to know how the weavers are getting on with my cloth   said the Emperor to himself one day  ~newline~ When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~ All the people in the kingdom had heard of the wonderful cloth  ~newline~  He will be best able to see how the cloth looks  ~newline~  What can Many years ago  there was an Emperor who was so very fond of new clothes that he spent all his money on them  ~newline~ He only went out when he had the chance to show off his new clothes  ~newline~ They said that they knew how to weave cloth of the most beautiful colors and patterns  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~  These must  indeed  be splendid clothes   thought the Emperor  ~newline~ Then  they asked him whether the cloth pleased him  ~newline~  You do not say whether the cloth pleases you    Oh  it is excellent   replied the old wise man  looking at the loom through his spectacles  ~newline~ Now he wanted to know if the cloth would soon be ready  ~newline~  The cloth which the weavers are preparing is extraordinarily magnificent   The whole city was talking of the splendid cloth  which the Emperor had ordered to be woven  ~newline~ He took many officers of the court and the two honest men who had already admired the cloth  ~newline~ The cloth is charming   said he  aloud  ~newline~ Nevertheless  they all exclaimed   Oh  how beautiful   and advised his majesty to have some new clothes made from this splendid material for the parade that was planned  ~newline~ They pretended to roll the cloth off the looms  ~newline~  The Emperor s new clothes are ready   The Emperor  with all the grandees of his court  came to the weavers  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~  How splendid his Majesty looks in his new clothes  and how well they fit   everyone cried out  ~newline~ How beautiful are our Emperor s new clothes  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
14,The King's New Clothes,said, I should like to know how the weavers are getting on with my cloth   said the Emperor to himself one day  ~newline~  I will send my faithful old wise man to the weavers   said the Emperor atlast  ~newline~ It was said of the Emperor   He is sitting in his wardrobe   One day  two fellows calling themselves weavers came to town  ~newline~ They said that they knew how to weave cloth of the most beautiful colors and patterns  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~  This pattern  and the colors  yes  I will tell the Emperor without delay  how very beautiful I think them    We shall be much obliged to you   said the thieves  ~newline~  Indeed  your Imperial Majesty   he said to his emperor when he returned  ~newline~ Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen  Is not the work absolutely magnificent   said the two officers of the crown  already mentioned  ~newline~  How is this   said the Emperor to himself  ~newline~ The cloth is charming   said he  aloud  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~ These are indeed royal robes    I am quite ready   said the Emperor  ~newline~  But the Emperor has nothing at all on   said a little child  ~newline~ What the child had said was whispered from one to another 
13,The King's New Clothes,one, I should like to know how the weavers are getting on with my cloth   said the Emperor to himself one day  ~newline~ When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~  What can Many years ago  there was an Emperor who was so very fond of new clothes that he spent all his money on them  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~ This stuff must be woven for me immediately   He gave large sums of money to both the weavers in order that they might begin their work at once  ~newline~ No one must know it now if I am so  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~ However  no one shall know anything about it   And so he praised the stuff he could not see  ~newline~ He took many officers of the court and the two honest men who had already admired the cloth  ~newline~ As soon as the weavers saw the Emperor approach  they went on working faster than ever although they still did not pass even one thread through the looms  ~newline~ Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen  Is not the work absolutely magnificent   said the two officers of the crown  already mentioned  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~ Everyone with the Emperor now strained his or her eyes hoping to discover something on the looms  but they could see no more than the others  ~newline~ Everyone was very cheerful  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~  How splendid his Majesty looks in his new clothes  and how well they fit   everyone cried out  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job  ~newline~ What the child had said was whispered from one to another 
13,The King's New Clothes,clothes, What can Many years ago  there was an Emperor who was so very fond of new clothes that he spent all his money on them  ~newline~ He only went out when he had the chance to show off his new clothes  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~  These must  indeed  be splendid clothes   thought the Emperor  ~newline~ Nevertheless  they all exclaimed   Oh  how beautiful   and advised his majesty to have some new clothes made from this splendid material for the parade that was planned  ~newline~  The Emperor s new clothes are ready   The Emperor  with all the grandees of his court  came to the weavers  ~newline~  How splendid his Majesty looks in his new clothes  and how well they fit   everyone cried out  ~newline~ How beautiful are our Emperor s new clothes  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
12,The King's New Clothes,looms,Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes So the two pretend weavers set up two looms  ~newline~ Then they pretended to work at the empty looms until late at night  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~  I cannot find the least bit of thread on the looms   However  he did not say his thoughts aloud  ~newline~ The thieves asked him very kindly to be so good as to come nearer their looms  ~newline~ He could not see anything on the looms for a very good reason  ~newline~ They went on working with as much effort as before at their empty looms  ~newline~ First he looked closely at the looms on all sides  ~newline~ As soon as the weavers saw the Emperor approach  they went on working faster than ever although they still did not pass even one thread through the looms  ~newline~  I approve of it completely   He smiled most graciously and looked closely at the empty looms  ~newline~ Everyone with the Emperor now strained his or her eyes hoping to discover something on the looms  but they could see no more than the others  ~newline~ They pretended to roll the cloth off the looms 
12,The King's New Clothes,weavers,Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes So the two pretend weavers set up two looms  ~newline~  I should like to know how the weavers are getting on with my cloth   said the Emperor to himself one day  ~newline~ However  he would prefer sending somebody else to bring him news about the weavers  and their work  ~newline~  I will send my faithful old wise man to the weavers   said the Emperor atlast  ~newline~ It was said of the Emperor   He is sitting in his wardrobe   One day  two fellows calling themselves weavers came to town  ~newline~ This stuff must be woven for me immediately   He gave large sums of money to both the weavers in order that they might begin their work at once  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~ The Emperor soon sent another man from his court to see how the weavers were getting on  ~newline~  The cloth which the weavers are preparing is extraordinarily magnificent   The whole city was talking of the splendid cloth  which the Emperor had ordered to be woven  ~newline~ As soon as the weavers saw the Emperor approach  they went on working faster than ever although they still did not pass even one thread through the looms  ~newline~ He presented the weavers with the emblem of an order of knighthood  ~newline~  The Emperor s new clothes are ready   The Emperor  with all the grandees of his court  came to the weavers 
12,The King's New Clothes,new,However  he would prefer sending somebody else to bring him news about the weavers  and their work  ~newline~  What can Many years ago  there was an Emperor who was so very fond of new clothes that he spent all his money on them  ~newline~ He only went out when he had the chance to show off his new clothes  ~newline~ They said that they knew how to weave cloth of the most beautiful colors and patterns  ~newline~ Nevertheless  they all exclaimed   Oh  how beautiful   and advised his majesty to have some new clothes made from this splendid material for the parade that was planned  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~  The Emperor s new clothes are ready   The Emperor  with all the grandees of his court  came to the weavers  ~newline~ The Emperor was undressed for a fitting  and the thieves pretended to array him in his new suit  ~newline~  How splendid his Majesty looks in his new clothes  and how well they fit   everyone cried out  ~newline~ How beautiful are our Emperor s new clothes  ~newline~ The Emperor was upset  for he knew that the people were right 
11,The King's New Clothes,could,Most kings could be found sitting in council  ~newline~ He could not see anything on the looms for a very good reason  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~ He could see nothing at all but the empty frames  ~newline~ However  no one shall know anything about it   And so he praised the stuff he could not see  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~ That would be the worst thing that could happen Oh  ~newline~ No way would he say that he could not see what two of his advisors had praised so much  ~newline~ Everyone with the Emperor now strained his or her eyes hoping to discover something on the looms  but they could see no more than the others  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
11,The King's New Clothes,man, I will send my faithful old wise man to the weavers   said the Emperor atlast  ~newline~ He is a man of sense  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ L by Hans Christian Andersen K Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen be the meaning of this   thought the old man  opening his eyes very wide  ~newline~ The poor old wise man looked and looked  ~newline~  You do not say whether the cloth pleases you    Oh  it is excellent   replied the old wise man  looking at the loom through his spectacles  ~newline~ Then they named the many colors and described the pattern of the pretended stuff  ~newline~ The old wise man listened with care to their words so he might repeat them to the Emperor  ~newline~ The Emperor soon sent another man from his court to see how the weavers were getting on  ~newline~ It was just the same with this gentleman as with the wise man  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor  ~newline~  I certainly am not stupid   thought the man  ~newline~ He took many officers of the court and the two honest men who had already admired the cloth  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~ Here is the mantle  ~newline~ The lords of the bedchamber  who were to carry his Majesty s train felt about on the ground as if they were lifting up the ends of the mantle  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
10,The King's New Clothes,would,When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~ However  he would prefer sending somebody else to bring him news about the weavers  and their work  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~ I would be able to tell the wise men from the foolish  ~newline~ Now he wanted to know if the cloth would soon be ready  ~newline~ That would be the worst thing that could happen Oh  ~newline~ No way would he say that he could not see what two of his advisors had praised so much  ~newline~ Then they pretended to be carrying something for they would by no means want to appear foolish or not fit for their jobs  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
9,The King's New Clothes,wise,All were eager to learn how wise or how foolish their neighbors might be  ~newline~  I will send my faithful old wise man to the weavers   said the Emperor atlast  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ I would be able to tell the wise men from the foolish  ~newline~ The poor old wise man looked and looked  ~newline~  You do not say whether the cloth pleases you    Oh  it is excellent   replied the old wise man  looking at the loom through his spectacles  ~newline~ The old wise man listened with care to their words so he might repeat them to the Emperor  ~newline~ It was just the same with this gentleman as with the wise man  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor 
8,The King's New Clothes,thieves,No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ The thieves asked him very kindly to be so good as to come nearer their looms  ~newline~  This pattern  and the colors  yes  I will tell the Emperor without delay  how very beautiful I think them    We shall be much obliged to you   said the thieves  ~newline~ The thieves asked for more silk and gold saying that it was necessary to complete what they had begun  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor  ~newline~ The thieves sat up the whole of the night before the day on which the parade was to take place  ~newline~ The thieves raised their arms  as if in the act of holding something up  ~newline~ The Emperor was undressed for a fitting  and the thieves pretended to array him in his new suit 
7,The King's New Clothes,colors,They said that they knew how to weave cloth of the most beautiful colors and patterns  ~newline~ They asked whether the colors were not very beautiful  ~newline~  This pattern  and the colors  yes  I will tell the Emperor without delay  how very beautiful I think them    We shall be much obliged to you   said the thieves  ~newline~ Then they named the many colors and described the pattern of the pretended stuff  ~newline~ He declared that he was happy with both colors and patterns  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~ What colors 
7,The King's New Clothes,might,All were eager to learn how wise or how foolish their neighbors might be  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~  If I had such a suit  I might at once find out what men in my kingdom are unfit for their job  ~newline~ This stuff must be woven for me immediately   He gave large sums of money to both the weavers in order that they might begin their work at once  ~newline~ The old wise man listened with care to their words so he might repeat them to the Emperor  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth 
7,The King's New Clothes,thought,To be sure  he thought he was safe  ~newline~  These must  indeed  be splendid clothes   thought the Emperor  ~newline~ L by Hans Christian Andersen K Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen be the meaning of this   thought the old man  opening his eyes very wide  ~newline~  I cannot find the least bit of thread on the looms   However  he did not say his thoughts aloud  ~newline~  What   thought he again  ~newline~ I have never thought so myself  ~newline~  I certainly am not stupid   thought the man  ~newline~ However  he thought the procession must go on now 
7,The King's New Clothes,job,When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~  If I had such a suit  I might at once find out what men in my kingdom are unfit for their job  ~newline~ Can it be  that I am unfit for my job  ~newline~  It must be  that I am not fit for my good job  ~newline~ Then they pretended to be carrying something for they would by no means want to appear foolish or not fit for their jobs  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
7,The King's New Clothes,empty,Then they pretended to work at the empty looms until late at night  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ All the time they were pointing to the empty frames  ~newline~ They went on working with as much effort as before at their empty looms  ~newline~ He could see nothing at all but the empty frames  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~  I approve of it completely   He smiled most graciously and looked closely at the empty looms 
7,The King's New Clothes,nothing,They worked very busily  though in reality they did nothing at all  ~newline~ There was nothing there  ~newline~ He could see nothing at all but the empty frames  ~newline~  I can see nothing  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~  But the Emperor has nothing at all on   said a little child  ~newline~  But he has nothing at all on   at last cried out all the people 
6,The King's New Clothes,majesty,Nevertheless  they all exclaimed   Oh  how beautiful   and advised his majesty to have some new clothes made from this splendid material for the parade that was planned 
6,The King's New Clothes,must, These must  indeed  be splendid clothes   thought the Emperor  ~newline~ This stuff must be woven for me immediately   He gave large sums of money to both the weavers in order that they might begin their work at once  ~newline~ No one must know it now if I am so  ~newline~ No  the Emperor must not know that either  ~newline~  It must be  that I am not fit for my good job  ~newline~ However  he thought the procession must go on now 
6,The King's New Clothes,everyone,The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~ What glorious colors   and at the same time they pointed to the empty frames  for they imagined that everyone else could see this exquisite piece of workmanship  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~  How splendid his Majesty looks in his new clothes  and how well they fit   everyone cried out 
6,The King's New Clothes,beautiful,They said that they knew how to weave cloth of the most beautiful colors and patterns  ~newline~ They asked whether the colors were not very beautiful  ~newline~  This pattern  and the colors  yes  I will tell the Emperor without delay  how very beautiful I think them    We shall be much obliged to you   said the thieves  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor  ~newline~ Nevertheless  they all exclaimed   Oh  how beautiful   and advised his majesty to have some new clothes made from this splendid material for the parade that was planned  ~newline~ How beautiful are our Emperor s new clothes 
6,The King's New Clothes,suit,He had a different suit for each hour of the day  ~newline~  If I had such a suit  I might at once find out what men in my kingdom are unfit for their job  ~newline~ They had sixteen lights burning  so that everyone might see how anxious they were to finish the Emperor s new suit  ~newline~ The whole suit is as light as a cobweb  one might fancy one has nothing at all on  when dressed in it    Yes indeed   said all the courtiers  although not one of them could see anything of this special cloth  ~newline~ The Emperor was undressed for a fitting  and the thieves pretended to array him in his new suit  ~newline~ He appeared to be examining his handsome suit 
6,The King's New Clothes,old,They asked for the finest silk and the purest gold thread  ~newline~  I will send my faithful old wise man to the weavers   said the Emperor atlast  ~newline~ No one can be better for his job than he is   So the faithful old wise man went into the hall where the thieves were working with all their might at their empty looms  ~newline~ He did not trouble about his soldiers  ~newline~ L by Hans Christian Andersen K Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen be the meaning of this   thought the old man  opening his eyes very wide  ~newline~ The poor old wise man looked and looked  ~newline~  You do not say whether the cloth pleases you    Oh  it is excellent   replied the old wise man  looking at the loom through his spectacles  ~newline~ The old wise man listened with care to their words so he might repeat them to the Emperor  ~newline~ The thieves asked for more silk and gold saying that it was necessary to complete what they had begun  ~newline~ The thieves raised their arms  as if in the act of holding something up  ~newline~ The lords of the bedchamber took greater pains than ever  to appear holding up a train  although  in reality  there was no train to hold  and the Emperor walked on in his underwear 
6,The King's New Clothes,unfit,When he remembered that a simpleton  or one unfit for his job would be unable to see the cloth he began to worry  ~newline~ The clothes made from this wonderful cloth would be invisible to everyone who was unfit for the job he held  or who was very simple in character  ~newline~  If I had such a suit  I might at once find out what men in my kingdom are unfit for their job  ~newline~ Can it be  that I am unfit for my job  ~newline~ Am I a simpleton  or am I unfit to be an Emperor  ~newline~ What a magnificent train there is to the mantle  and  Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen how gracefully the scarf hangs   No one would admit these much admired clothes could not be seen because  in doing so  he would have been saying he was either a simpleton or unfit for his job 
6,The King's New Clothes,asked,They asked for the finest silk and the purest gold thread  ~newline~ The thieves asked him very kindly to be so good as to come nearer their looms  ~newline~ Then  they asked him whether the cloth pleased him  ~newline~ They asked whether the colors were not very beautiful  ~newline~ The thieves asked for more silk and gold saying that it was necessary to complete what they had begun  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor 
6,The King's New Clothes,two,Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes So the two pretend weavers set up two looms  ~newline~ It was said of the Emperor   He is sitting in his wardrobe   One day  two fellows calling themselves weavers came to town  ~newline~ He took many officers of the court and the two honest men who had already admired the cloth  ~newline~ Created for Lit Go on the web at fcit usf edu       The Emperor s New Clothes By Hans Christian Andersen  Is not the work absolutely magnificent   said the two officers of the crown  already mentioned  ~newline~ No way would he say that he could not see what two of his advisors had praised so much 
5,The King's New Clothes,stuff,This stuff must be woven for me immediately   He gave large sums of money to both the weavers in order that they might begin their work at once  ~newline~ I will never tell that I could not see the stuff    Well  Sir   said one of the weavers still pretending to work  ~newline~ Then they named the many colors and described the pattern of the pretended stuff  ~newline~  Does not the stuff appear as beautiful to you  as it did to my lord the wise man   asked the thieves of the Emperor s second advisor  ~newline~ However  no one shall know anything about it   And so he praised the stuff he could not see 
