score,title,word,sentence
44,Puss in Boots,boots, Yes  I can talk   said the cat   and if you will but buy me a handsome pair of boots and a large leather bag I will make you a rich and happy man  ~newline~ He was so astonished that his cat could talk  He went out and bought the boots and bag  ~newline~ PUSS IN BOOTS Dressed in his brand new boots  the cat put bait in the bottom of his leather bag  threw it over his shoulder and set out over the fields 
43,Puss in Boots,puss,
22,Puss in Boots,cat,PUSS IN BOOTS Written by Charles Perrault First published in      This adaptation by Kiwi Opa PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master  ~newline~ When the man died he left the mill to his oldest son  the middle son received his donkey while the youngest son was given his only other possession  a cat  ~newline~ PUSS IN BOOTS Seeing the young man sad  the cat went over and rubbed his head against the young man s leg and spoke  ~newline~  Yes  I can talk   said the cat   and if you will but buy me a handsome pair of boots and a large leather bag I will make you a rich and happy man  ~newline~ He was so astonished that his cat could talk  He went out and bought the boots and bag  ~newline~ PUSS IN BOOTS Dressed in his brand new boots  the cat put bait in the bottom of his leather bag  threw it over his shoulder and set out over the fields  ~newline~ PUSS IN BOOTS Using his cunning the cat caught a plump rabbit  ~newline~ Now  you would have thought the cat would have gone back to the young man and given him the rabbit to eat as he was hungry   but no  the cat had bigger plans  ~newline~ PUSS IN BOOTS With the boldness of a lion this clever cat took his plump rabbit straight to the King and presented it as a gift from his master  the Marquis de Carrabas  ~newline~ PUSS IN BOOTS Every day the cat came to the King s palace presenting gifts from his master  the Marquis de Carrabas  ~newline~ PUSS IN BOOTS The cat soon became a favourite at the King s palace  ~newline~ Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~ PUSS IN BOOTS As the King s carriage approached the cat raced out waving his hands in the air and shouting to the coachmen   Help  ~newline~ PUSS IN BOOTS The cat then came upon a village  ~newline~ The young man was even more astonished by the cleverness and audacity of his cat  ~newline~ The enormous wooden door creaked open and a large ogre presented himself   What d ye want    The cat bowed low   I have heard you are fierce and cruel and that people are afraid of you    What of it   grunted the ogre  ~newline~ PUSS IN BOOTS From his safe perch high upon the curtain the cat s confidence returned   That s easy   he chided   to change yourself into something so big   But  you couldn t change yourself into   into   say  something as small as a mouse  could you   PUSS IN BOOTS With a sneer the ogre transformed himself into a mouse  ~newline~ Before you could say  Hey  diddle  diddle  the cat had pounced on the ogre  ~newline~ PUSS IN BOOTS The young man had stopped being astonished by anything his clever cat got up to His time was now occupied in the company of the beautiful Princess  ~newline~ PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master  ~newline~ It appeared in a handwritten and illustrated manuscript two years before its      publication By Charles Perrault Published in      All the illustrations used in this production are PD or CC 
20,Puss in Boots,king,Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~ He came across some peasants working in a field 
20,Puss in Boots,man,When the man died he left the mill to his oldest son  the middle son received his donkey while the youngest son was given his only other possession  a cat  ~newline~ The young man felt sad  ~newline~ PUSS IN BOOTS Seeing the young man sad  the cat went over and rubbed his head against the young man s leg and spoke  ~newline~ The young man was astonished  ~newline~  Yes  I can talk   said the cat   and if you will but buy me a handsome pair of boots and a large leather bag I will make you a rich and happy man  ~newline~ PUSS IN BOOTS Although the young man was poor  ~newline~ Now  you would have thought the cat would have gone back to the young man and given him the rabbit to eat as he was hungry   but no  the cat had bigger plans  ~newline~ Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~ My master the Marquis de Carrabas is drowning   PUSS IN BOOTS When the King heard the name  the Marquis de Carrabas  he ordered the coach to stop and the coachman to rescue the young man from the river  ~newline~ PUSS IN BOOTS The coachmen pulled the astonished young man out of the river  ~newline~ The young man tried to cover his nakedness  ~newline~  Sire  he was set upon and robbed by wicked men who took all his possessions   PUSS IN BOOTS  Then we must fetch suitable replacements from the palace   Dressed in the finest of clothes tailored by the King s personal tailor the young man was presented to the King and his daughter  ~newline~ The young man was invited to join the King and his daughter in the royal carriage  ~newline~ PUSS IN BOOTS  I am impressed  my Lord   said the King The King s daughter smiled and touched the young man s arm  ~newline~ The young man was even more astonished by the cleverness and audacity of his cat  ~newline~ He hurried out to greet the King and his daughter   PUSS IN BOOTS  Welcome to the castle of my master  the Marquis de Carrabas  your majesties    So this is your home   the King said to the young man  ~newline~ PUSS IN BOOTS The young man had stopped being astonished by anything his clever cat got up to His time was now occupied in the company of the beautiful Princess  ~newline~ PUSS IN BOOTS The young man  the Marquis de Carrabas  his wife  the Princess  and Puss in Boots  all lived  in the ogre s castle  happily ever after  ~newline~ It appeared in a handwritten and illustrated manuscript two years before its      publication By Charles Perrault Published in      All the illustrations used in this production are PD or CC 
18,Puss in Boots,young,When the man died he left the mill to his oldest son  the middle son received his donkey while the youngest son was given his only other possession  a cat  ~newline~ The young man felt sad  ~newline~ PUSS IN BOOTS Seeing the young man sad  the cat went over and rubbed his head against the young man s leg and spoke  ~newline~ The young man was astonished  ~newline~ PUSS IN BOOTS Although the young man was poor  ~newline~ Now  you would have thought the cat would have gone back to the young man and given him the rabbit to eat as he was hungry   but no  the cat had bigger plans  ~newline~ Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~ My master the Marquis de Carrabas is drowning   PUSS IN BOOTS When the King heard the name  the Marquis de Carrabas  he ordered the coach to stop and the coachman to rescue the young man from the river  ~newline~ PUSS IN BOOTS The coachmen pulled the astonished young man out of the river  ~newline~ The young man tried to cover his nakedness  ~newline~  Sire  he was set upon and robbed by wicked men who took all his possessions   PUSS IN BOOTS  Then we must fetch suitable replacements from the palace   Dressed in the finest of clothes tailored by the King s personal tailor the young man was presented to the King and his daughter  ~newline~ The young man was invited to join the King and his daughter in the royal carriage  ~newline~ PUSS IN BOOTS  I am impressed  my Lord   said the King The King s daughter smiled and touched the young man s arm  ~newline~ The young man was even more astonished by the cleverness and audacity of his cat  ~newline~ He hurried out to greet the King and his daughter   PUSS IN BOOTS  Welcome to the castle of my master  the Marquis de Carrabas  your majesties    So this is your home   the King said to the young man  ~newline~ PUSS IN BOOTS The young man had stopped being astonished by anything his clever cat got up to His time was now occupied in the company of the beautiful Princess  ~newline~ PUSS IN BOOTS The young man  the Marquis de Carrabas  his wife  the Princess  and Puss in Boots  all lived  in the ogre s castle  happily ever after 
9,Puss in Boots,carrabas,
9,Puss in Boots,de,PUSS IN BOOTS Written by Charles Perrault First published in      This adaptation by Kiwi Opa PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master  ~newline~ When the man died he left the mill to his oldest son  the middle son received his donkey while the youngest son was given his only other possession  a cat  ~newline~ PUSS IN BOOTS Dressed in his brand new boots  the cat put bait in the bottom of his leather bag  threw it over his shoulder and set out over the fields  ~newline~ PUSS IN BOOTS With the boldness of a lion this clever cat took his plump rabbit straight to the King and presented it as a gift from his master  the Marquis de Carrabas  ~newline~ PUSS IN BOOTS As he bowed low to the King  he noticed the King s daughter sitting beside him  ~newline~ PUSS IN BOOTS Every day the cat came to the King s palace presenting gifts from his master  the Marquis de Carrabas  ~newline~ One day he overheard the King planning a carriage ride along the river bank with his daughter  ~newline~ Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~ My master the Marquis de Carrabas is drowning   PUSS IN BOOTS When the King heard the name  the Marquis de Carrabas  he ordered the coach to stop and the coachman to rescue the young man from the river  ~newline~ PUSS IN BOOTS Drawing his sword Puss in Boots challenged them   When the King asks to whom these fields belong  declare   The Marquis de Carrabas   or it will be the worse for you   The frightened workers agreed  ~newline~ He told the villagers   When the King asks whose lands are these  declare   the Marquis de Carrabas   or it will be the worst for you   PUSS IN BOOTS  These fields  sire  and all the surrounding lands belong to the Marquis de Carrabas  ~newline~ The enormous wooden door creaked open and a large ogre presented himself   What d ye want    The cat bowed low   I have heard you are fierce and cruel and that people are afraid of you    What of it   grunted the ogre  ~newline~  I have also heard you have powers to change yourself    PUSS IN BOOTS PUSS IN BOOTS Suddenly  a ferocious lion appeared where the ogre had stood  ~newline~ PUSS IN BOOTS From his safe perch high upon the curtain the cat s confidence returned   That s easy   he chided   to change yourself into something so big   But  you couldn t change yourself into   into   say  something as small as a mouse  could you   PUSS IN BOOTS With a sneer the ogre transformed himself into a mouse  ~newline~ The ogre made for a very good supper  ~newline~ He hurried out to greet the King and his daughter   PUSS IN BOOTS  Welcome to the castle of my master  the Marquis de Carrabas  your majesties    So this is your home   the King said to the young man  ~newline~ PUSS IN BOOTS The ogre s servants were pleased with their new master and prepared the most wonderful banquet  ~newline~ PUSS IN BOOTS The young man  the Marquis de Carrabas  his wife  the Princess  and Puss in Boots  all lived  in the ogre s castle  happily ever after  ~newline~ PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master 
9,Puss in Boots,marquis,
8,Puss in Boots,ogre,The enormous wooden door creaked open and a large ogre presented himself   What d ye want    The cat bowed low   I have heard you are fierce and cruel and that people are afraid of you    What of it   grunted the ogre  ~newline~  I have also heard you have powers to change yourself    PUSS IN BOOTS PUSS IN BOOTS Suddenly  a ferocious lion appeared where the ogre had stood  ~newline~ PUSS IN BOOTS From his safe perch high upon the curtain the cat s confidence returned   That s easy   he chided   to change yourself into something so big   But  you couldn t change yourself into   into   say  something as small as a mouse  could you   PUSS IN BOOTS With a sneer the ogre transformed himself into a mouse  ~newline~ Before you could say  Hey  diddle  diddle  the cat had pounced on the ogre  ~newline~ The ogre made for a very good supper  ~newline~ PUSS IN BOOTS The ogre s servants were pleased with their new master and prepared the most wonderful banquet  ~newline~ PUSS IN BOOTS The young man  the Marquis de Carrabas  his wife  the Princess  and Puss in Boots  all lived  in the ogre s castle  happily ever after 
8,Puss in Boots,master,PUSS IN BOOTS Written by Charles Perrault First published in      This adaptation by Kiwi Opa PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master  ~newline~ PUSS IN BOOTS With the boldness of a lion this clever cat took his plump rabbit straight to the King and presented it as a gift from his master  the Marquis de Carrabas  ~newline~ PUSS IN BOOTS Every day the cat came to the King s palace presenting gifts from his master  the Marquis de Carrabas  ~newline~ He raced home and told his master   Do what I say and fortune will smile kindly on us  ~newline~ My master the Marquis de Carrabas is drowning   PUSS IN BOOTS When the King heard the name  the Marquis de Carrabas  he ordered the coach to stop and the coachman to rescue the young man from the river  ~newline~ He hurried out to greet the King and his daughter   PUSS IN BOOTS  Welcome to the castle of my master  the Marquis de Carrabas  your majesties    So this is your home   the King said to the young man  ~newline~ PUSS IN BOOTS The ogre s servants were pleased with their new master and prepared the most wonderful banquet  ~newline~ PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master 
7,Puss in Boots,daughter,PUSS IN BOOTS As he bowed low to the King  he noticed the King s daughter sitting beside him  ~newline~ One day he overheard the King planning a carriage ride along the river bank with his daughter  ~newline~  Sire  he was set upon and robbed by wicked men who took all his possessions   PUSS IN BOOTS  Then we must fetch suitable replacements from the palace   Dressed in the finest of clothes tailored by the King s personal tailor the young man was presented to the King and his daughter  ~newline~ PUSS IN BOOTS He was taken by the daughter s beauty  ~newline~ The young man was invited to join the King and his daughter in the royal carriage  ~newline~ PUSS IN BOOTS  I am impressed  my Lord   said the King The King s daughter smiled and touched the young man s arm  ~newline~ He hurried out to greet the King and his daughter   PUSS IN BOOTS  Welcome to the castle of my master  the Marquis de Carrabas  your majesties    So this is your home   the King said to the young man 
6,Puss in Boots,princess,PUSS IN BOOTS Written by Charles Perrault First published in      This adaptation by Kiwi Opa PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master  ~newline~ PUSS IN BOOTS  Puss in Boots   is a European literary fairy tale about a cat who uses trickery and deceit to gain power  wealth  and the hand of a princess in marriage for his penniless and low born master 
5,Puss in Boots,clothes,Opportunity is knocking on our door   PUSS IN BOOTS The cat took the young man down to the river   Take off your clothes and get in the water   As soon as the young man was in the water  the cat took his torn and tattered clothes and hid them under a big stone  ~newline~  Where are his clothes   asked the King  ~newline~  Sire  he was set upon and robbed by wicked men who took all his possessions   PUSS IN BOOTS  Then we must fetch suitable replacements from the palace   Dressed in the finest of clothes tailored by the King s personal tailor the young man was presented to the King and his daughter  ~newline~ She  noting his fine clothes and handsome looks  fell immediately in love with him 
5,Puss in Boots,carriage,One day he overheard the King planning a carriage ride along the river bank with his daughter  ~newline~ PUSS IN BOOTS As the King s carriage approached the cat raced out waving his hands in the air and shouting to the coachmen   Help  ~newline~ The young man was invited to join the King and his daughter in the royal carriage  ~newline~ PUSS IN BOOTS As the carriage continued on its way  Puss in Boots raced ahead  ~newline~ PUSS IN BOOTS Just then Puss heard the sound of the King s carriage pulling into the court yard 
5,Puss in Boots,astonished,The young man was astonished  ~newline~ He was so astonished that his cat could talk  He went out and bought the boots and bag  ~newline~ PUSS IN BOOTS The coachmen pulled the astonished young man out of the river  ~newline~ The young man was even more astonished by the cleverness and audacity of his cat  ~newline~ PUSS IN BOOTS The young man had stopped being astonished by anything his clever cat got up to His time was now occupied in the company of the beautiful Princess 
4,Puss in Boots,heard,One day he overheard the King planning a carriage ride along the river bank with his daughter  ~newline~ My master the Marquis de Carrabas is drowning   PUSS IN BOOTS When the King heard the name  the Marquis de Carrabas  he ordered the coach to stop and the coachman to rescue the young man from the river  ~newline~ The enormous wooden door creaked open and a large ogre presented himself   What d ye want    The cat bowed low   I have heard you are fierce and cruel and that people are afraid of you    What of it   grunted the ogre  ~newline~  I have also heard you have powers to change yourself    PUSS IN BOOTS PUSS IN BOOTS Suddenly  a ferocious lion appeared where the ogre had stood  ~newline~ PUSS IN BOOTS Just then Puss heard the sound of the King s carriage pulling into the court yard 
