score,title,word,sentence
39,Rapunzel,rapunzel,
31,Rapunzel,enchantress,The house overlooked a vast  dark forest and at the edge of the forest lived an enchantress  who had great power and was feared by everyone in the kingdom  ~newline~ The enchantress had a beautiful garden  full of sweet smelling flowers and herbs  ~newline~ The wife wished that she could have a beautiful  sweet smelling garden just like the enchantress  ~newline~ But there was no way the nasty enchantress would ever share the delicious rampion with her  ~newline~ Please  ask the enchantress if she would give me some   The woodcutter shook his head and laughed  ~newline~  I hear the last person who went to see the enchantress was turned into a toad  ~newline~ The enchantress will never spot that some of it has gone missing   and I will be able to make us a delicious supper   The woodcutter s belly rumbled at the thought  ~newline~ He was frightened of the enchantress and her great power  but perhaps if he stole the rampion at night no one would notice  ~newline~ He dropped the rampion and turned to see the enchantress watching him  her arms folded across her chest  ~newline~ Please  forgive me   The enchantress nodded  her scowl turning to a sly smile  ~newline~  Yes   snapped the enchantress  ~newline~ He just wanted to get as far away from the scary enchantress as he could  ~newline~ Keeping to her bargain  the enchantress came to the house and took the baby away  ~newline~ She lived in the house on the edge of the forest  with only the enchantress for company  ~newline~ The enchantress was angry  and took her deep into the forest instead  ~newline~  You will stay here   commanded the enchantress  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~ She was afraid that the enchantress would punish her if she spoke to a stranger  ~newline~ Leading his horse behind a tree  the Prince hid from view   just as the evil enchantress stepped from the forest  ~newline~ The Prince waited patiently until the enchantress reappeared and climbed back down again  ~newline~  So that is how I will reach my heart s desire   Once the enchantress had vanished into the forest  he walked up to the tower and called   Rapunzel  Rapunzel  let down your hair   Immediately the hair was lowered  ~newline~ She was expecting the enchantress  not a young handsome man  ~newline~ He did not see the enchantress watching him from the shadows  ~newline~ The enchantress climbed up   and when she reached the tower s room  she cut off Rapunzel s hair with a swish of her knife  ~newline~ You have deceived me and now you will be punished   Rapunzel begged and pleaded but the enchantress was too angry to listen  ~newline~ There you will live   all alone   under the baking hot sun   With a wave of her hands  the enchantress cast a spell  ~newline~ The enchantress snatched them up  ~newline~ However  instead of the fair Rapunzel  he was met by the evil grin of the nasty enchantress  ~newline~ The enchantress cackled with glee  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The enchantress assumed that the Prince was dead  and so failed to notice him clambering out of the thorns  his clothes ragged and torn 
21,Rapunzel,prince,Soon you will be free    Oh thank you  brave prince   Rapunzel lowered her hair and watched as he climbed back down  ~newline~  Now I will teach that love sick prince a lesson   At dawn the next morning  the Prince arrived at the tower with a bundle of silk 
20,Rapunzel,uk,www scholastic co uk http   www scholastic co uk  Fairytale Kingdom The Story of Rapunzel Once upon a time there was a woodcutter and his wife  who lived in a small house high on a hill  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  And that is exactly what he did  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~  You can climb down my hair but I cannot follow   story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The Prince comforted her  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The enchantress assumed that the Prince was dead  and so failed to notice him clambering out of the thorns  his clothes ragged and torn  ~newline~ The end story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september     
20,Rapunzel,co,www scholastic co uk http   www scholastic co uk  Fairytale Kingdom The Story of Rapunzel Once upon a time there was a woodcutter and his wife  who lived in a small house high on a hill  ~newline~ The wife wished that she could have a beautiful  sweet smelling garden just like the enchantress  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  And that is exactly what he did  ~newline~ Please  forgive me   The enchantress nodded  her scowl turning to a sly smile  ~newline~  But on one condition  ~newline~ He just wanted to get as far away from the scary enchantress as he could  ~newline~ The couple were delighted   but their joy was to be short lived  ~newline~ The woodcutter and his wife were heartbroken  but they knew they could never go back on a promise  ~newline~ She lived in the house on the edge of the forest  with only the enchantress for company  ~newline~ One day  Rapunzel asked if she could go and visit  ~newline~  You will stay here   commanded the enchantress  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~ She would bring Rapunzel bread and water  but no comfort or love  ~newline~ It was coming from an area of the forest he had never been to before  ~newline~ The Prince looked for a door to enter the tower  but there was nothing   just cold  dark stone  ~newline~  You can climb down my hair but I cannot follow   story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The Prince comforted her  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The enchantress assumed that the Prince was dead  and so failed to notice him clambering out of the thorns  his clothes ragged and torn  ~newline~ It led him to a cool  dark cave where Rapunzel was waiting  ~newline~ Overcome with joy  the Prince led Rapunzel out of the barren  hot desert  ~newline~ The end story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september     
20,Rapunzel,scholastic,www scholastic co uk http   www scholastic co uk  Fairytale Kingdom The Story of Rapunzel Once upon a time there was a woodcutter and his wife  who lived in a small house high on a hill  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  And that is exactly what he did  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~  You can climb down my hair but I cannot follow   story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The Prince comforted her  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The enchantress assumed that the Prince was dead  and so failed to notice him clambering out of the thorns  his clothes ragged and torn  ~newline~ The end story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september     
20,Rapunzel,www,www scholastic co uk http   www scholastic co uk  Fairytale Kingdom The Story of Rapunzel Once upon a time there was a woodcutter and his wife  who lived in a small house high on a hill  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  And that is exactly what he did  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~  You can climb down my hair but I cannot follow   story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The Prince comforted her  ~newline~ story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The enchantress assumed that the Prince was dead  and so failed to notice him clambering out of the thorns  his clothes ragged and torn  ~newline~ The end story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september     
16,Rapunzel,tower,There  Rapunzel was shut away in a tall dark tower that had neither stairs nor door   just a narrow little window for Rapunzel to look out of  ~newline~ At its centre was the tall stone tower  ~newline~ The Prince looked for a door to enter the tower  but there was nothing   just cold  dark stone  ~newline~ Scratching his head  he backed away from the tower  ~newline~ The witch climbed up to her and disappeared into the tower  ~newline~  So that is how I will reach my heart s desire   Once the enchantress had vanished into the forest  he walked up to the tower and called   Rapunzel  Rapunzel  let down your hair   Immediately the hair was lowered  ~newline~ With a smile  the Prince climbed the tower  ~newline~  Please let me take you far away from this horrible tower  ~newline~  How will I ever get down from this tower   sobbed Rapunzel  ~newline~ When it is ready I will be able to climb down from this horrible tower  ~newline~ Angrily  she marched up to Rapunzel s tower and shrieked at the top of her voice   Rapunzel  Rapunzel  let down your hair   Too afraid to do otherwise  Rapunzel lowered her plaited hair  ~newline~ The enchantress climbed up   and when she reached the tower s room  she cut off Rapunzel s hair with a swish of her knife  ~newline~  Now I will teach that love sick prince a lesson   At dawn the next morning  the Prince arrived at the tower with a bundle of silk  ~newline~ Eagerly  the Prince clambered up to the tower window  ~newline~  My love has gone  and now I have nothing to live for   With a cry of despair  he threw himself from the tower window  ~newline~  Dear Prince  you should look before you leap   With a click of her fingers  a tangled wall of thorns sprang up around the base of the tower 
15,Rapunzel,hair,As the winter snows began to fall  the wife gave birth to a baby girl with big blue eyes and tufty blonde hair  ~newline~  When I want to visit I will call    Rapunzel  Rapunzel  let down your hair   And you will do as I ask   Rapunzel had magnificent long hair  as fine as spun gold  ~newline~ Whenever she heard the voice of the story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  enchantress she would let down her braided hair and the enchantress would climb up it to reach the window  ~newline~  Let down your hair   Immediately  Rapunzel let down the braids of her hair  ~newline~  So that is how I will reach my heart s desire   Once the enchantress had vanished into the forest  he walked up to the tower and called   Rapunzel  Rapunzel  let down your hair   Immediately the hair was lowered  ~newline~  You can climb down my hair but I cannot follow   story retold by mike ward www scholastic co uk www scholastic co uk childedplus PHOTOCOPIABLE   Photocopy or download from  SEE PAGES       september      www scholastic co uk http   www scholastic co uk  The Prince comforted her  ~newline~ Soon you will be free    Oh thank you  brave prince   Rapunzel lowered her hair and watched as he climbed back down  ~newline~ Angrily  she marched up to Rapunzel s tower and shrieked at the top of her voice   Rapunzel  Rapunzel  let down your hair   Too afraid to do otherwise  Rapunzel lowered her plaited hair  ~newline~ The enchantress climbed up   and when she reached the tower s room  she cut off Rapunzel s hair with a swish of her knife  ~newline~  Let down your hair   The golden braids fell down from the window  ~newline~ She had used Rapunzel s hair to trick him 
12,Rapunzel,see, I hear the last person who went to see the enchantress was turned into a toad  ~newline~ You won t see me going anywhere near her front door   The wife grew miserable  ~newline~ He dropped the rampion and turned to see the enchantress watching him  her arms folded across her chest  ~newline~ On seeing her beauty  the Prince immediately fell in love with her  ~newline~  I can t see how I can climb up to that window  ~newline~ He did not see the enchantress watching him from the shadows  ~newline~  The bird you seek no longer sits in the nest  ~newline~ You will never see her again    The Prince s heart broke in two  ~newline~ On seeing the Prince  she ran into his arms weeping  ~newline~  I can see   he declared happily 
