score,title,word,sentence
17,Sleeping Beauty,princess,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ He hoped that each would give the princess a good gift  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~  What are you doing  good old woman   asked the princess  ~newline~  I am spinning  my pretty child    Ah   said the princess  ~newline~ The princess dropped down on the floor  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ Even the story of the sleeping princess was almost forgotten  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ The princess looked at him with wondering eyes and said   Is it you  my prince  ~newline~ Then the chief lady in waiting  who was ready to die of hunger  told the princess aloud that supper was ready  ~newline~ The prince gave the princess his hand  and they all went into the great hall for supper  ~newline~ That very evening the prince and princess were married 
14,Sleeping Beauty,king,She had left the kingdom fifty years before and had not been seen or heard of until this day  ~newline~ The king at once ordered that a plate should be brought for her  but he could not furnish a gold one such as the others had  ~newline~ At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ The king gave a christening feast so grand that the like of it had never been known  ~newline~ He invited all the fairies he could find in the kingdom there were seven of them to come to the christening as godmothers  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ The king and queen wept loudest of all  ~newline~ At the end of that time  a king s son will find her and awaken her   Immediately all the fairies vanished  ~newline~ II The king  hoping to save his child even from this misfortune  commanded that all spindles should be burned  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ There an old woman so old and deaf that she had never heard of the king s command sat spinning  ~newline~ So the fairy touched with her magic wand all in the palace except the king and the queen  ~newline~ The king and queen departed from the castle  giving orders that no one was to go near it  ~newline~ The king had no other child  and when he died  his throne passed to another royal family  ~newline~ One day the son of the king who was then reigning was out hunting  and he saw towers rising above a thick wood  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
12,Sleeping Beauty,shall,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ Your daughter shall not die  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ She shall fall into sleep that will last a hundred years 
12,Sleeping Beauty,said,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ Just then the wise young fairy came from behind the curtain and said   Do not grieve  O King and Queen  ~newline~  I am spinning  my pretty child    Ah   said the princess  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself  ~newline~ The princess looked at him with wondering eyes and said   Is it you  my prince 
11,Sleeping Beauty,old,The king at once ordered that a plate should be brought for her  but he could not furnish a gold one such as the others had  ~newline~ This made the old fairy angry  and she sat there muttering to herself  ~newline~ This good godmother  fearing the old fairy might give the child an unlucky gift  hid herself behind a curtain  ~newline~ She did this because she wished to speak last and perhaps be able to change the old fairy s gift  ~newline~ Before each of the fairies was placed a plate with a spoon  a knife  and a fork all pure gold  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ There an old woman so old and deaf that she had never heard of the king s command sat spinning  ~newline~  What are you doing  good old woman   asked the princess  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ But he was not afraid and boldly entered the palace  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ Then the chief lady in waiting  who was ready to die of hunger  told the princess aloud that supper was ready 
10,Sleeping Beauty,fairy,This made the old fairy angry  and she sat there muttering to herself  ~newline~ A young fairy who sat near overheard her angry threats  ~newline~ This good godmother  fearing the old fairy might give the child an unlucky gift  hid herself behind a curtain  ~newline~ She did this because she wished to speak last and perhaps be able to change the old fairy s gift  ~newline~ At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ Just then the wise young fairy came from behind the curtain and said   Do not grieve  O King and Queen  ~newline~ When the good young fairy heard the news  she came quickly to the castle  ~newline~ So the fairy touched with her magic wand all in the palace except the king and the queen 
9,Sleeping Beauty,years,She had left the kingdom fifty years before and had not been seen or heard of until this day  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ She shall fall into sleep that will last a hundred years  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ III A great many changes take place in a hundred years  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
8,Sleeping Beauty,prince,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ He hoped that each would give the princess a good gift  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~  What are you doing  good old woman   asked the princess  ~newline~  I am spinning  my pretty child    Ah   said the princess  ~newline~ The princess dropped down on the floor  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ Even the story of the sleeping princess was almost forgotten  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself  ~newline~ In the courtyard the prince saw horses and men who looked as if they were dead  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ Trembling  the prince knelt beside her  and awakened her with a kiss  ~newline~ The princess looked at him with wondering eyes and said   Is it you  my prince  ~newline~ Then the chief lady in waiting  who was ready to die of hunger  told the princess aloud that supper was ready  ~newline~ The prince gave the princess his hand  and they all went into the great hall for supper  ~newline~ That very evening the prince and princess were married  ~newline~ The next day the prince took his bride to his father s palace  and there they lived happily ever afterward 
8,Sleeping Beauty,came,When the christening was over  the feast came  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ Just then the wise young fairy came from behind the curtain and said   Do not grieve  O King and Queen  ~newline~ She wandered about the palace and at last came to a little room in the top of a tower  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done  ~newline~ When the good young fairy heard the news  she came quickly to the castle  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
6,Sleeping Beauty,went,They all went to sleep just where they were when the wand touched them  ~newline~ The gentlemen went on bowing to the ladies  ~newline~ The ladies went on with their embroidery  ~newline~ The grooms went on currying their horses  the cook went on slapping the kitchen boy  and the servants began to serve the supper  ~newline~ The prince gave the princess his hand  and they all went into the great hall for supper 
