score,title,word,sentence
58,Snow White,white,The red on the white looked so beautiful that she thought to herself   If only I had a child as white as snow  as red as blood  and as black as the wood in this frame   ~newline~ Soon afterward she had a little daughter who was as white as snow  as red as blood  and as black as ebony wood  and therefore they called her Little Snow White  ~newline~ There was a little table with a white tablecloth and seven little plates  and each plate had a spoon  and there were seven knives and forks and seven mugs as well  ~newline~ Against the wall there were seven little beds  all standing in a row and covered with snow white sheets  ~newline~ From the outside it was beautiful  white with red cheeks  and anyone who saw it would want it  ~newline~ You eat the red half  and I shall eat the white half   ~newline~ The animals too came and mourned for Snow white  first an owl  then a raven  and finally a dove  ~newline~ Snow White lay there in the coffin a long  long time  and she did not decay  but looked like she was asleep  for she was still as white as snow and as red as blood  and as black haired as ebony wood 
56,Snow White,snow,    Little Snow White Jacob and Wilhelm Grimm Once upon a time in midwinter  when the snowflakes were falling like feathers from heaven  a queen sat sewing at her window  which had a frame of black ebony wood  ~newline~ As she sewed she looked up at the snow and pricked her finger with her needle  ~newline~ Three drops of blood fell into the snow  ~newline~ The red on the white looked so beautiful that she thought to herself   If only I had a child as white as snow  as red as blood  and as black as the wood in this frame   ~newline~ Soon afterward she had a little daughter who was as white as snow  as red as blood  and as black as ebony wood  and therefore they called her Little Snow White  ~newline~ Against the wall there were seven little beds  all standing in a row and covered with snow white sheets  ~newline~ The queen looked at her with a gruesome stare  laughed loudly  and said   White as snow  red as blood  black as ebony wood  ~newline~ Snow White lay there in the coffin a long  long time  and she did not decay  but looked like she was asleep  for she was still as white as snow and as red as blood  and as black haired as ebony wood 
28,Snow White,mirror,She had a magic mirror  ~newline~ Every morning she stood before it  looked at herself  and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ To this the mirror answered   You  my queen  are fairest of all  ~newline~ Then she was satisfied  for she knew that the mirror spoke the truth  ~newline~ One day when the queen asked her mirror   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ She stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ This startled the queen  for she knew that the mirror did not lie  and she realized that the huntsman had deceived her  and that Snow White was still alive  ~newline~ When the wicked woman returned home she went to her mirror and asked   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ The mirror answered once again   You  my queen  are fair  it is true  ~newline~ Back at home the queen stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ The mirror answered   You  my queen  are fair  it is true  ~newline~ When the queen heard the mirror saying this  she shook and trembled with anger   Snow White shall die   she shouted   if it costs me my life   ~newline~ Back at home she asked her mirror   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ After putting on her beautiful clothes she stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ The mirror answered  You  my queen  are fair  it is true 
27,Snow White,said,Every morning she stood before it  looked at herself  and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ Then she summoned a huntsman and said to him   Take Snow White out into the woods  ~newline~ Because she was so beautiful the huntsman took pity on her  and he said   Run away  you poor child   ~newline~ The first one said   Who has been sitting in my chair   ~newline~ Then the first one saw a that there was a little imprint in his bed  and said   Who stepped on my bed   ~newline~ The dwarfs said   If you will keep house for us  and cook  make beds  wash  sew  and knit  and keep everything clean and orderly  then you can stay with us  and you shall have everything that you want   ~newline~  Yes   said Snow White   with all my heart   ~newline~ She stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ Snow White peered out the window and said   Good day  dear woman  what do you have for sale   ~newline~  Child   said the old woman   how you look  ~newline~  You used to be the most beautiful one   said the old woman  and hurried away  ~newline~ When the dwarfs heard what had happened they said   The old peddler woman was no one else but the godless queen  ~newline~  This time   she said   I shall think of something that will destroy you   ~newline~ Snow White looked out and said   Go on your way  ~newline~  You surely may take a look   said the old woman  pulling out the poisoned comb and holding it up  ~newline~ After they had agreed on the purchase  the old woman said   Now let me comb your hair properly   ~newline~  You specimen of beauty   said the wicked woman   now you are finished   ~newline~ Back at home the queen stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ Snow White stuck her head out the window and said   I am not allowed to let anyone in  ~newline~  No   said Snow White   I cannot accept anything   ~newline~ The queen looked at her with a gruesome stare  laughed loudly  and said   White as snow  red as blood  black as ebony wood  ~newline~ They said   We cannot bury her in the black earth   and they had a transparent glass coffin made  so she could be seen from all sides  ~newline~ Then he said to the dwarfs   Let me have the coffin  ~newline~ Then he said   Then give it to me  for I cannot live without being able to see Snow White  ~newline~ The prince said joyfully   You are with me   ~newline~ He told her what had happened  and then said   I love you more than anything else in the world  ~newline~ After putting on her beautiful clothes she stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all 
26,Snow White,one,She was a beautiful woman  but she was proud and arrogant  and she could not stand it if anyone might surpass her in beauty  ~newline~ Then she summoned a huntsman and said to him   Take Snow White out into the woods  ~newline~ He thought   The wild animals will soon devour you anyway   but still it was as if a stone had fallen from his heart  for he would not have to kill her  ~newline~ The poor child was now all alone in the great forest  and she was so afraid that she just looked at all the leaves on the trees and did not know what to do  ~newline~ She ran over sharp stones and through thorns  and wild animals jumped at her  but they did her no harm  ~newline~ Inside the house everything was small  but so neat and clean that no one could say otherwise  ~newline~ Afterward  because she was so tired  she lay down on a bed  but none of them felt right    one was too long  the other too short    until finally the seventh one was just right  ~newline~ They lit their seven candles  and as soon as it was light in their house they saw that someone had been there  for not everything was in the same order as they had left it  ~newline~ The first one said   Who has been sitting in my chair   ~newline~ The second one   Who has been eating from my plate   ~newline~ The third one   Who has been eating my bread   ~newline~ The fourth one   Who has been eating my vegetables   ~newline~ The fifth one   Who has been sticking with my fork   ~newline~ The sixth one   Who has been cutting with my knife   ~newline~ The seventh one   Who has been drinking from my mug   ~newline~ Then the first one saw a that there was a little imprint in his bed  and said   Who stepped on my bed   ~newline~ The others came running up and shouted   Someone has been lying in mine as well   ~newline~ But the seventh one  looking at his bed  found Snow White lying there asleep  ~newline~ They fetched their seven candles and shone the light on Snow White  ~newline~ The seventh dwarf had to sleep with his companions  one hour with each one  and then the night was done  ~newline~ During the day the girl was alone  ~newline~ Do not let anyone in   ~newline~ Coloring her face  she disguised herself as an old peddler woman  so that no one would recognize her  ~newline~ And she took out one that was braided from colorful silk  ~newline~  Would you like this one   ~newline~  I can let that honest woman in   thought Snow White  then unbolted the door and bought the pretty bodice lace  ~newline~  You used to be the most beautiful one   said the old woman  and hurried away  ~newline~ When the dwarfs heard what had happened they said   The old peddler woman was no one else but the godless queen  ~newline~ Take care and let no one in when we are not with you   ~newline~ Then with the art of witchcraft  which she understood  she made a poisoned comb  ~newline~ I am not allowed to let anyone in   ~newline~  You surely may take a look   said the old woman  pulling out the poisoned comb and holding it up  ~newline~ They examined her and found the poisoned comb  ~newline~ Once again they warned her to be on guard and not to open the door for anyone  ~newline~ Then she went into her most secret room    no one else was allowed inside    and she made a poisoned  poisoned apple  ~newline~ From the outside it was beautiful  white with red cheeks  and anyone who saw it would want it  ~newline~ But anyone who might eat a little piece of it would died  ~newline~ Snow White stuck her head out the window and said   I am not allowed to let anyone in  ~newline~ Here  I ll give you one of them   ~newline~ Now the apple had been so artfully made that only the red half was poisoned  ~newline~ Snow White longed for the beautiful apple  and when she saw that the peasant woman was eating part of it she could no longer resist  and she stuck her hand out and took the poisoned half  ~newline~ Then they put the coffin outside on a mountain  and one of them always stayed with it and watched over her  ~newline~ I will honor her and respect her as my most cherished one   ~newline~ But then it happened that one of them stumbled on some brush  and this dislodged from Snow White s throat the piece of poisoned apple that she had bitten off  ~newline~ Beginning with the edition of       the poisoned apple is dislodged when a servant accidentally stumbles while carrying the coffin to the prince s castle 
22,Snow White,dwarfs,They were the seven dwarfs who picked and dug for ore in the mountains  ~newline~ The seven dwarfs all came running up  and they cried out with amazement  ~newline~ The next morning Snow White woke up  and when she saw the seven dwarfs she was frightened  ~newline~ the dwarfs asked further  ~newline~ The dwarfs said   If you will keep house for us  and cook  make beds  wash  sew  and knit  and keep everything clean and orderly  then you can stay with us  and you shall have everything that you want   ~newline~ The good dwarfs warned her  saying   Be careful about your stepmother  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ In this disguise she went to the house of the seven dwarfs  ~newline~ Not long afterward  in the evening time  the seven dwarfs came home  ~newline~ When the dwarfs heard what had happened they said   The old peddler woman was no one else but the godless queen  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ Thus she went across the seven mountains to the seven dwarfs  knocked on the door  and called out   Good wares for sale  for sale   ~newline~ Fortunately it was almost evening  and the seven dwarfs came home  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ Then  coloring her face  she disguised herself as a peasant woman  and thus went across the seven mountains to the seven dwarfs  ~newline~ The dwarfs have forbidden me to do so   ~newline~ This time the dwarfs cannot awaken you   ~newline~ When the dwarfs came home that evening they found Snow White lying on the ground  ~newline~ Now it came to pass that a prince entered these woods and happened onto the dwarfs  house  where he sought shelter for the night  ~newline~ Then he said to the dwarfs   Let me have the coffin  ~newline~ But the dwarfs answered   We will not sell it for all the gold in the world   ~newline~ As he thus spoke  the good dwarfs felt pity for him and gave him the coffin 
21,Snow White,seven,When she was seven years old she was as beautiful as the light of day  even more beautiful than the queen herself  ~newline~ There was a little table with a white tablecloth and seven little plates  and each plate had a spoon  and there were seven knives and forks and seven mugs as well  ~newline~ Against the wall there were seven little beds  all standing in a row and covered with snow white sheets  ~newline~ Afterward  because she was so tired  she lay down on a bed  but none of them felt right    one was too long  the other too short    until finally the seventh one was just right  ~newline~ They were the seven dwarfs who picked and dug for ore in the mountains  ~newline~ They lit their seven candles  and as soon as it was light in their house they saw that someone had been there  for not everything was in the same order as they had left it  ~newline~ The seventh one   Who has been drinking from my mug   ~newline~ But the seventh one  looking at his bed  found Snow White lying there asleep  ~newline~ The seven dwarfs all came running up  and they cried out with amazement  ~newline~ They fetched their seven candles and shone the light on Snow White  ~newline~ The seventh dwarf had to sleep with his companions  one hour with each one  and then the night was done  ~newline~ The next morning Snow White woke up  and when she saw the seven dwarfs she was frightened  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ In this disguise she went to the house of the seven dwarfs  ~newline~ Not long afterward  in the evening time  the seven dwarfs came home  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ Thus she went across the seven mountains to the seven dwarfs  knocked on the door  and called out   Good wares for sale  for sale   ~newline~ Fortunately it was almost evening  and the seven dwarfs came home  ~newline~ But Snow White  beyond the mountains  With the seven dwarfs   Is still a thousand times fairer than you  ~newline~ Then  coloring her face  she disguised herself as a peasant woman  and thus went across the seven mountains to the seven dwarfs  ~newline~ They laid her on a bier  and all seven sat next to her and mourned for her and cried for three days 
21,Snow White,woman,She was a beautiful woman  but she was proud and arrogant  and she could not stand it if anyone might surpass her in beauty  ~newline~ The cook had to boil them with salt  and the wicked woman ate them  supposing that she had eaten Snow White s lungs and liver  ~newline~ Now the queen  believing that she had eaten Snow White s lungs and liver  could only think that she was again the first and the most beautiful woman of all  ~newline~ Then she thought  and thought again  how she could kill Snow White  for as long as long as she was not the most beautiful woman in the entire land her envy would give her no rest  ~newline~ Coloring her face  she disguised herself as an old peddler woman  so that no one would recognize her  ~newline~ Snow White peered out the window and said   Good day  dear woman  what do you have for sale   ~newline~  I can let that honest woman in   thought Snow White  then unbolted the door and bought the pretty bodice lace  ~newline~  Child   said the old woman   how you look  ~newline~ The unsuspecting Snow White stood before her and let her do up the new lace  but the old woman pulled so quickly and so hard that Snow White could not breathe  ~newline~  You used to be the most beautiful one   said the old woman  and hurried away  ~newline~ When the dwarfs heard what had happened they said   The old peddler woman was no one else but the godless queen  ~newline~ When the wicked woman returned home she went to her mirror and asked   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ Then she disguised herself  taking the form of a different old woman  ~newline~  You surely may take a look   said the old woman  pulling out the poisoned comb and holding it up  ~newline~ After they had agreed on the purchase  the old woman said   Now let me comb your hair properly   ~newline~  You specimen of beauty   said the wicked woman   now you are finished   ~newline~ Then  coloring her face  she disguised herself as a peasant woman  and thus went across the seven mountains to the seven dwarfs  ~newline~  That is all right with me   answered the peasant woman  ~newline~ asked the old woman  ~newline~ Snow White longed for the beautiful apple  and when she saw that the peasant woman was eating part of it she could no longer resist  and she stuck her hand out and took the poisoned half  ~newline~ The wicked woman uttered a curse  and she became so frightened  so frightened  that she did not know what to do 
21,Snow White,queen,    Little Snow White Jacob and Wilhelm Grimm Once upon a time in midwinter  when the snowflakes were falling like feathers from heaven  a queen sat sewing at her window  which had a frame of black ebony wood  ~newline~ And as soon as the child was born  the queen died  ~newline~ To this the mirror answered   You  my queen  are fairest of all  ~newline~ When she was seven years old she was as beautiful as the light of day  even more beautiful than the queen herself  ~newline~ One day when the queen asked her mirror   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ It answered   You  my queen  are fair  it is true  ~newline~ The queen took fright and turned yellow and green with envy  ~newline~ He killed it  cut out its lungs and liver  and took them back to the queen as proof of Snow White s death  ~newline~ Now the queen  believing that she had eaten Snow White s lungs and liver  could only think that she was again the first and the most beautiful woman of all  ~newline~ It answered   You  my queen  are fair  it is true  ~newline~ This startled the queen  for she knew that the mirror did not lie  and she realized that the huntsman had deceived her  and that Snow White was still alive  ~newline~ When the dwarfs heard what had happened they said   The old peddler woman was no one else but the godless queen  ~newline~ The mirror answered once again   You  my queen  are fair  it is true  ~newline~ Back at home the queen stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all  ~newline~ The mirror answered   You  my queen  are fair  it is true  ~newline~ When the queen heard the mirror saying this  she shook and trembled with anger   Snow White shall die   she shouted   if it costs me my life   ~newline~ The queen looked at her with a gruesome stare  laughed loudly  and said   White as snow  red as blood  black as ebony wood  ~newline~ It finally answered   You  my queen  are fairest of all  ~newline~ The mirror answered  You  my queen  are fair  it is true  ~newline~ But the young queen is a thousand times fairer than you  ~newline~ She had to go and see the young queen 
17,Snow White,beautiful,The red on the white looked so beautiful that she thought to herself   If only I had a child as white as snow  as red as blood  and as black as the wood in this frame   ~newline~ She was a beautiful woman  but she was proud and arrogant  and she could not stand it if anyone might surpass her in beauty  ~newline~ Snow White grew up and became ever more beautiful  ~newline~ When she was seven years old she was as beautiful as the light of day  even more beautiful than the queen herself  ~newline~ Because she was so beautiful the huntsman took pity on her  and he said   Run away  you poor child   ~newline~  This child is so beautiful   ~newline~ Now the queen  believing that she had eaten Snow White s lungs and liver  could only think that she was again the first and the most beautiful woman of all  ~newline~ Then she thought  and thought again  how she could kill Snow White  for as long as long as she was not the most beautiful woman in the entire land her envy would give her no rest  ~newline~  Good wares  beautiful wares   she answered  ~newline~  You used to be the most beautiful one   said the old woman  and hurried away  ~newline~ From the outside it was beautiful  white with red cheeks  and anyone who saw it would want it  ~newline~ Snow White longed for the beautiful apple  and when she saw that the peasant woman was eating part of it she could no longer resist  and she stuck her hand out and took the poisoned half  ~newline~ They were going to bury her  but she still looked as fresh as a living person  and still had her beautiful red cheeks  ~newline~ He saw the coffin on the mountain with beautiful Snow White in it  and he read what was written on it with golden letters  ~newline~ After putting on her beautiful clothes she stepped before her mirror and said   Mirror  mirror  on the wall   Who in this land is fairest of all 
