score,title,word,sentence
67,The Three Little Kids,pig,  link    Fairy Tale  The Three Little Pigs   The Three Little Pigs Once upon a time there were three little pigs  ~newline~ Pig kissed each little pig on the nose  ~newline~ Build your houses good and strong  and NEVER NEVER let that bad old wolf through the door   The three little pigs said   Bye  bye mom   and off they went  ~newline~ The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ The little pig said   Thank you   and he made a house of straw  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The first little pig was not stupid  so he said   No  ~newline~ He ate up the first little pig  ~newline~ So the second little pig saw some campers collecting sticks for their fire  ~newline~ So he said to the campers   Please give me some sticks to build a house   The campers said   Yes  and gave the little pig a lot of sticks  ~newline~ The little pig said   Thank you   and he made a house of sticks  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The second little pig was not stupid  so he said   No  ~newline~ He ate up the second little pig  ~newline~ The third little pig saw some builders  unloading bricks  ~newline~ So he said to the builders   Please  give me some bricks to build a house   The builders said   Yes  and gave the little pig a lot of bricks  ~newline~ The little pig said   Thank you   and he made a house of bricks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The third little pig was not stupid  so she said   No  ~newline~ The third little pig was very happy  ~newline~ He looked at the little pig and suddenly he had an idea  ~newline~ He said very friendly   Little pig  I know where you can find yummy carrots    Where   said the little pig  ~newline~ The wolf said   I will show you the field with the carrots by the river tomorrow morning   The little pig said  Yes   ~newline~ But she was a clever little pig  ~newline~ In the night when the moon and the stars were shining the little pig woke up and went to the fields with carrots  ~newline~ On the next morning the wolf came to the little pig s house  ~newline~ But the little pig was already eating the yummy carrots  ~newline~ He looked at the little pig and suddenly he had an idea  ~newline~ He said very friendly   Little pig  I know where you can find yummy apples    Where   said the little pig  ~newline~ The little pig said   Yes   ~newline~ But it was a very clever pig  ~newline~ In the early morning the little pig went to the garden with the apples and climbed on the tree  ~newline~ The little pig was very frightened  ~newline~ The little pig had an idea  ~newline~ She said to the wolf   Eat one apple   The little pig threw an apple very far away  ~newline~ The little pig climbed down the tree and ran as fast as she could to her house of bricks  ~newline~ The wolf came to the little pig s house  ~newline~ He looked at the little pig and he had a new idea  ~newline~ He said   Little pig  there is a fair in town this afternoon  ~newline~ Let s go to the fair at   o clock   The little pig said   Yes   ~newline~ But she was a very clever pig  ~newline~ At   o clock the little pig went to the fair and bought a big cooking pot  ~newline~ So the little pig jumped into the cooking pot to hide  ~newline~ Later he went to the little pig s house of bricks  ~newline~ He screamed   Little pig  you have tricked me once with the carrots  ~newline~ I will eat you up   The wolf climbed on the roof of the little pig s house of bricks  ~newline~ But she was a very clever pig  ~newline~ The little pig lived happily ever after in her little brick house  ~newline~ Great Britain         link    Beispiele f r reduzierte Textstellen  BSP    Originaltext  One day their mother said   You  ve all grown into fine little pigs  ~newline~ You can make your own houses   BSP    Originaltext  So the three little pigs said goodbye and went on their way  ~newline~ reduzierte Fassung  The three little pigs said  Bye bye mom   and off they went  ~newline~ BSP    Originaltext  The first little pig strolled down the road  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ reduzierte Fassung  The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw  ~newline~   link    Song Text   The Three Little Pigs   Song  Tune of  This Old Man   This young pig  built a house  Out of straw he built a house  ~newline~ Clever old wolf  blew it into shreds  This pig was eaten and was dead  ~newline~ Next young pig  built a house  Out of sticks he build a house  ~newline~ Clever old wolf  blew it clean away  This pig was eaten in one day  ~newline~ Third young pig  built a house  Out of bricks she built a house  ~newline~ Clever old wolf  couldn t touch the place  This pig laughed in old wolf s face 
67,The Three Little Kids,little,  link    Fairy Tale  The Three Little Pigs   The Three Little Pigs Once upon a time there were three little pigs  ~newline~ Pig kissed each little pig on the nose  ~newline~ Build your houses good and strong  and NEVER NEVER let that bad old wolf through the door   The three little pigs said   Bye  bye mom   and off they went  ~newline~ The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ The little pig said   Thank you   and he made a house of straw  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The first little pig was not stupid  so he said   No  ~newline~ He ate up the first little pig  ~newline~ So the second little pig saw some campers collecting sticks for their fire  ~newline~ So he said to the campers   Please give me some sticks to build a house   The campers said   Yes  and gave the little pig a lot of sticks  ~newline~ The little pig said   Thank you   and he made a house of sticks  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The second little pig was not stupid  so he said   No  ~newline~ He ate up the second little pig  ~newline~ The third little pig saw some builders  unloading bricks  ~newline~ So he said to the builders   Please  give me some bricks to build a house   The builders said   Yes  and gave the little pig a lot of bricks  ~newline~ The little pig said   Thank you   and he made a house of bricks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The third little pig was not stupid  so she said   No  ~newline~ The third little pig was very happy  ~newline~ He looked at the little pig and suddenly he had an idea  ~newline~ He said very friendly   Little pig  I know where you can find yummy carrots    Where   said the little pig  ~newline~ The wolf said   I will show you the field with the carrots by the river tomorrow morning   The little pig said  Yes   ~newline~ But she was a clever little pig  ~newline~ In the night when the moon and the stars were shining the little pig woke up and went to the fields with carrots  ~newline~ On the next morning the wolf came to the little pig s house  ~newline~ But the little pig was already eating the yummy carrots  ~newline~ He looked at the little pig and suddenly he had an idea  ~newline~ He said very friendly   Little pig  I know where you can find yummy apples    Where   said the little pig  ~newline~ The little pig said   Yes   ~newline~ In the early morning the little pig went to the garden with the apples and climbed on the tree  ~newline~ The little pig was very frightened  ~newline~ The little pig had an idea  ~newline~ She said to the wolf   Eat one apple   The little pig threw an apple very far away  ~newline~ The little pig climbed down the tree and ran as fast as she could to her house of bricks  ~newline~ The wolf came to the little pig s house  ~newline~ He looked at the little pig and he had a new idea  ~newline~ Let s go to the fair at   o clock   The little pig said   Yes   ~newline~ At   o clock the little pig went to the fair and bought a big cooking pot  ~newline~ So the little pig jumped into the cooking pot to hide  ~newline~ Later he went to the little pig s house of bricks  ~newline~ I will eat you up   The wolf climbed on the roof of the little pig s house of bricks  ~newline~ The little pig lived happily ever after in her little brick house  ~newline~ Great Britain         link    Beispiele f r reduzierte Textstellen  BSP    Originaltext  One day their mother said   You  ve all grown into fine little pigs  ~newline~ You can make your own houses   BSP    Originaltext  So the three little pigs said goodbye and went on their way  ~newline~ reduzierte Fassung  The three little pigs said  Bye bye mom   and off they went  ~newline~ BSP    Originaltext  The first little pig strolled down the road  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ reduzierte Fassung  The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw 
38,The Three Little Kids,said,One day their mother said   You are old now  ~newline~ Build your houses good and strong  and NEVER NEVER let that bad old wolf through the door   The three little pigs said   Bye  bye mom   and off they went  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ The little pig said   Thank you   and he made a house of straw  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The first little pig was not stupid  so he said   No  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ So he said to the campers   Please give me some sticks to build a house   The campers said   Yes  and gave the little pig a lot of sticks  ~newline~ The little pig said   Thank you   and he made a house of sticks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The second little pig was not stupid  so he said   No  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ So he said to the builders   Please  give me some bricks to build a house   The builders said   Yes  and gave the little pig a lot of bricks  ~newline~ The little pig said   Thank you   and he made a house of bricks  ~newline~ He knocked on the door and said   Little pig  little pig  let me come in   The third little pig was not stupid  so she said   No  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and puffed and he huffed and he huffed and he puffed  but he could not blow the house in  ~newline~ He said very friendly   Little pig  I know where you can find yummy carrots    Where   said the little pig  ~newline~ The wolf said   I will show you the field with the carrots by the river tomorrow morning   The little pig said  Yes   ~newline~ He said very friendly   Little pig  I know where you can find yummy apples    Where   said the little pig  ~newline~ The wolf said   I ll show you the garden with the apples on the farm tomorrow morning  ~newline~ The little pig said   Yes   ~newline~ She said to the wolf   Eat one apple   The little pig threw an apple very far away  ~newline~ He said   Little pig  there is a fair in town this afternoon  ~newline~ Let s go to the fair at   o clock   The little pig said   Yes   ~newline~ Great Britain         link    Beispiele f r reduzierte Textstellen  BSP    Originaltext  One day their mother said   You  ve all grown into fine little pigs  ~newline~ Now it s  time for you to make homes of your own   reduzierte Fassung  One day their mother said   You are old now  ~newline~ You can make your own houses   BSP    Originaltext  So the three little pigs said goodbye and went on their way  ~newline~ reduzierte Fassung  The three little pigs said  Bye bye mom   and off they went  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw 
32,The Three Little Kids,house,You can make your own houses   Mrs  ~newline~ Build your houses good and strong  and NEVER NEVER let that bad old wolf through the door   The three little pigs said   Bye  bye mom   and off they went  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ The little pig said   Thank you   and he made a house of straw  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ So he said to the campers   Please give me some sticks to build a house   The campers said   Yes  and gave the little pig a lot of sticks  ~newline~ The little pig said   Thank you   and he made a house of sticks  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ So he said to the builders   Please  give me some bricks to build a house   The builders said   Yes  and gave the little pig a lot of bricks  ~newline~ The little pig said   Thank you   and he made a house of bricks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and puffed and he huffed and he huffed and he puffed  but he could not blow the house in  ~newline~ On the next morning the wolf came to the little pig s house  ~newline~ The little pig climbed down the tree and ran as fast as she could to her house of bricks  ~newline~ The wolf came to the little pig s house  ~newline~ Later he went to the little pig s house of bricks  ~newline~ I will eat you up   The wolf climbed on the roof of the little pig s house of bricks  ~newline~ The little pig lived happily ever after in her little brick house  ~newline~ You can make your own houses   BSP    Originaltext  So the three little pigs said goodbye and went on their way  ~newline~ He couldn t be bothered to walk  very far  and the thought of building a house made him tired  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw  ~newline~   link    Song Text   The Three Little Pigs   Song  Tune of  This Old Man   This young pig  built a house  Out of straw he built a house  ~newline~ Next young pig  built a house  Out of sticks he build a house  ~newline~ Third young pig  built a house  Out of bricks she built a house  ~newline~ Then the wolf  climbed the house  Down the chimney of the house 
29,The Three Little Kids,wolf,There is a big bad wolf about  ~newline~ Build your houses good and strong  and NEVER NEVER let that bad old wolf through the door   The three little pigs said   Bye  bye mom   and off they went  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and he blew the house in  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ I will not let you in   The wolf said   Then I ll huff and I ll puff and I ll blow your house in   So he huffed and he puffed and puffed and he huffed and he huffed and he puffed  but he could not blow the house in  ~newline~ The big bad wolf was very tired and angry  ~newline~ The wolf said   I will show you the field with the carrots by the river tomorrow morning   The little pig said  Yes   ~newline~ On the next morning the wolf came to the little pig s house  ~newline~ The wolf was very angry  ~newline~ The wolf said   I ll show you the garden with the apples on the farm tomorrow morning  ~newline~ The wolf came  ~newline~ The wolf was angry  ~newline~ She said to the wolf   Eat one apple   The little pig threw an apple very far away  ~newline~ The wolf ran after the apple  ~newline~ The wolf came to the little pig s house  ~newline~ On the way home she saw the big bad wolf  ~newline~ The wolf saw the pot rolling towards him  ~newline~ The wolf was red hot angry  ~newline~ I will eat you up   The wolf climbed on the roof of the little pig s house of bricks  ~newline~ The wolf came down the chimney and SPLASH  ~newline~ And that was the end of the big bad wolf  ~newline~ Clever old wolf  blew it into shreds  This pig was eaten and was dead  ~newline~ Clever old wolf  blew it clean away  This pig was eaten in one day  ~newline~ Clever old wolf  couldn t touch the place  This pig laughed in old wolf s face  ~newline~ Then the wolf  climbed the house  Down the chimney of the house 
13,The Three Little Kids,big,There is a big bad wolf about  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ The big bad wolf was very tired and angry  ~newline~ At   o clock the little pig went to the fair and bought a big cooking pot  ~newline~ On the way home she saw the big bad wolf  ~newline~ She made a fire and put the big cooking pot with water on the fire  ~newline~ And that was the end of the big bad wolf  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw  ~newline~ But a big boiling pot  caught him where he fell  Burnt his bum and tail as well 
11,The Three Little Kids,straw,The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ The little pig said   Thank you   and he made a house of straw  ~newline~ One day the clever big bad wolf came to the little pig s house of straw  ~newline~ In  a while a farmer came along with some straw  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ reduzierte Fassung  The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw  ~newline~   link    Song Text   The Three Little Pigs   Song  Tune of  This Old Man   This young pig  built a house  Out of straw he built a house 
10,The Three Little Kids,clever,One day the clever big bad wolf came to the little pig s house of straw  ~newline~ The next day the clever big bad wolf came to the little pig s house of sticks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ But she was a clever little pig  ~newline~ But it was a very clever pig  ~newline~ But she was a very clever pig  ~newline~ But she was a very clever pig 
9,The Three Little Kids,bricks,The third little pig saw some builders  unloading bricks  ~newline~ So he said to the builders   Please  give me some bricks to build a house   The builders said   Yes  and gave the little pig a lot of bricks  ~newline~ The little pig said   Thank you   and he made a house of bricks  ~newline~ The next day the clever big bad wolf came to the little pig s house of bricks  ~newline~ The little pig climbed down the tree and ran as fast as she could to her house of bricks  ~newline~ Later he went to the little pig s house of bricks  ~newline~ I will eat you up   The wolf climbed on the roof of the little pig s house of bricks  ~newline~ Third young pig  built a house  Out of bricks she built a house 
9,The Three Little Kids,farmer,The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes  and gave the little pig a big bundle of straw  ~newline~ In  a while a farmer came along with some straw  ~newline~ thought the  first little pig So he said to the farmer   Will you give me some straw to build  a house   The farmer had plenty  so he gave the little pig a big bundle  ~newline~ reduzierte Fassung  The first little pig saw a farmer with some straw  ~newline~ So he said to the farmer   Please give me some straw to build a house   The farmer said   Yes   and gave the little pig a big bundle of straw 
