score,title,word,sentence
45,The Ugly Duckling,duckling,It was just as wild there as in the deepest wood  and here sat a Duck upon her nest  she had to hatch her ducklings  but she was almost tired out before the little ones came and then she so seldom had visitors  ~newline~  It s a very large duckling   said she   none of the others look like that  ~newline~ quack   she said  and one duckling after another plunged in  ~newline~ And fie  how that duckling yonder looks  we won t stand that   And one duck flew up at it  and bit it in the neck  ~newline~ He makes his way already    The other ducklings are graceful enough   said the old Duck 
33,The Ugly Duckling,said,quack   they said  and they all came quacking out as fast as they could  looking all round them under the green leaves  and the mother let them look as much as they chose  for green is good for the eye  ~newline~   H o w wide the world is   said all the young ones  for they certainly had much more room now than when they were in the eggs  ~newline~  D ye think this is all the world   said the mother  ~newline~  It lasts a long time with that one egg   said the Duck who sat there  ~newline~ The rogue  he never comes to see me    Let me see the egg which will not burst   said the old visitor  ~newline~ Let it lie there  and teach the other children to swim    I think I will sit on it a little longer   said the Duck  ~newline~  I ve sat so long now that I can sit a few days more    Just as you please   said the old Duck  and she went away  ~newline~ piep   said the little one  and crept forth  ~newline~  It s a very large duckling   said she   none of the others look like that  ~newline~ quack   she said  and one duckling after another plunged in  ~newline~  No  it s not a turkey   said she   look how well it can use its legs  and how straight it holds itself  ~newline~  See  that s how it goes in the world   said the Mother Duck  and she whetted her beak  for she too wanted the eel s head  ~newline~  Only use your legs   she said  ~newline~ Now bend your necks and say  Quack    And they did so  but the other ducks round about looked at them  and said quite boldly  Created for Lit Go on the web at fcit usf edu       The Ugly Duckling Hans Christian Andersen  Look there  ~newline~  Let it alone   said the mother   it does no harm to any one    Yes  but it s too large and peculiar   said the Duck who had bitten it   and therefore it must be put down    Those are pretty children that the mother has there   said the old Duck with the rag round her leg  ~newline~  Moreover  it is a drake   she said   and therefore it is not of so much consequence  ~newline~ He makes his way already    The other ducklings are graceful enough   said the old Duck  ~newline~  It is too big   they all said  ~newline~ The poor Duckling was hunted about by every one  even its brothers and sisters were quite angry with it  and said   If the cat would only catch you  you ugly creature   And the mother said   If you were only far away   And the ducks bit it  and the chickens beat it  and the girl who had to feed the poultry kicked at it with her foot  ~newline~  You are remarkably ugly   said the Wild Ducks  ~newline~  Listen  comrade   said one of them  ~newline~  What s this   said the woman  and looked all round  but she could not see well  and therefore she thought the Duckling was a fat duck that had strayed  ~newline~  This is a rare prize   she said  ~newline~ And the Cat was master of the House  and the Hen was the lady  and always said   We and the world   for she thought they were half the world  and by far the better half  ~newline~  No    Then will you hold your tongue   And the Cat said   Can you curve your back  and purr  and give out sparks    No    Then you will please have no opinion of your own when sensible folks are speaking   And the Duckling sat in a corner and was melancholy  then the fresh air and the sunshine streamed in  and it was seized with such a strange longing to swim on the water  that it could not help telling the Hen of it  ~newline~ Lay eggs  or purr  and they will pass over    But it is so charming to swim on the water   said the Duckling   so refreshing to let it close above one s head  and to dive down to the bottom    Yes  that must be a mighty pleasure  truly   quoth the Hen   I fancy you must have gone crazy  ~newline~ Do you think she has any desire to swim  and to let the water close above her head    You don t understand me   said the Duckling  ~newline~ Only take care that you learn to lay eggs  or to purr  and give out sparks    I think I will go out into the wide world   said the Duckling  ~newline~  Kill me   said the poor creature  and bent its head down upon the water  expecting nothing but death  ~newline~ Into the garden came little children  who threw bread and corn into the water  and the youngest cried   There is a new one   and the other children shouted joyously   Yes  a new one has arrived   And they clapped their hands and danced about  and ran to their father and mother  and bread and cake were thrown into the water  and they all said   The new one is the most beautiful of all 
31,The Ugly Duckling,one,Created for Lit Go on the web at fcit usf edu       At last one egg shell after another burst open  ~newline~   H o w wide the world is   said all the young ones  for they certainly had much more room now than when they were in the eggs  ~newline~ It was just as wild there as in the deepest wood  and here sat a Duck upon her nest  she had to hatch her ducklings  but she was almost tired out before the little ones came and then she so seldom had visitors  ~newline~  It lasts a long time with that one egg   said the Duck who sat there  ~newline~ Now  only look at the others  are they not the prettiest little ducks one could possibly see  ~newline~ I was once cheated in that way  and had much anxiety and trouble with the young ones  for they are afraid of the water  ~newline~ piep   said the little one  and crept forth  ~newline~  It s a very large duckling   said she   none of the others look like that  ~newline~ It must go into the water  even if I have to thrust it in myself   The next day it was bright  beautiful weather  the sun shone on all the green trees  ~newline~ quack   she said  and one duckling after another plunged in  ~newline~ On the whole it s quite pretty  if one looks at it rightly  ~newline~ come with me  and I ll lead you out into the great world  and present you in the duck yard  but keep close to me  so that no one may tread on you  and take care of the cats   And so they came into the duck yard  ~newline~ she has a red rag round her leg  that s something particularly fine  and the greatest distinction a duck can enjoy  it signifies that one does not want to lose her  and that she s to be known by the animals and by men too  ~newline~ And fie  how that duckling yonder looks  we won t stand that   And one duck flew up at it  and bit it in the neck  ~newline~  Let it alone   said the mother   it does no harm to any one    Yes  but it s too large and peculiar   said the Duck who had bitten it   and therefore it must be put down    Those are pretty children that the mother has there   said the old Duck with the rag round her leg  ~newline~  They re all pretty but that one  that was rather unlucky  ~newline~ I wish she could bear it over again    That cannot be done  my lady   replied the Mother Duck  ~newline~ The poor Duckling was hunted about by every one  even its brothers and sisters were quite angry with it  and said   If the cat would only catch you  you ugly creature   And the mother said   If you were only far away   And the ducks bit it  and the chickens beat it  and the girl who had to feed the poultry kicked at it with her foot  ~newline~  What sort of a one are you   they asked  and the Duckling turned in every direction  and bowed as well as it could  ~newline~  Listen  comrade   said one of them  ~newline~ It ran on over field and meadow  there was such a storm raging that it was difficult to get from one place to another  ~newline~ Then the Duckling noticed that one of the hinges of the door had given way  and the door hung so slanting that the Duckling could slip through the crack into the room  and that is what it did  ~newline~ And the Cat  whom she called Sonnie  could arch his back and purr  he could even give out sparks  but to make him do it one had to stroke his fur the wrong way  ~newline~ The Duckling thought one might have a different opinion  but the Hen would not allow it  ~newline~ Lay eggs  or purr  and they will pass over    But it is so charming to swim on the water   said the Duckling   so refreshing to let it close above one s head  and to dive down to the bottom    Yes  that must be a mighty pleasure  truly   quoth the Hen   I fancy you must have gone crazy  ~newline~ Ask our mistress  the old woman  no one in the world is cleverer than she  ~newline~ I tell you disagreeable things  and by that one may always know one s true friends  ~newline~ croak   for mere cold  yes  it was enough to make one feel cold to think of this  ~newline~ It knew not the name of those birds  and knew not whither they were flying  but it loved them more than it had ever loved any one  ~newline~ The woman screamed  and struck at it with the fire tongs  the children tumbled over one another in their efforts to catch the Duckling  and they laughed and they screamed   well it was that the door stood open  and the poor creature was able to slip out between the shrubs into the newly fallen snow there it lay quite exhausted  ~newline~ It matters nothing if one is born in a duck yard if one has only lain in a swan s egg  ~newline~ Into the garden came little children  who threw bread and corn into the water  and the youngest cried   There is a new one   and the other children shouted joyously   Yes  a new one has arrived   And they clapped their hands and danced about  and ran to their father and mother  and bread and cake were thrown into the water  and they all said   The new one is the most beautiful of all  ~newline~ Even the elder tree bent its branches straight down into the water before him  and the sun shone warm and mild 
23,The Ugly Duckling,ugly,It was very large and very ugly  ~newline~ The ugly gray Duckling swam with them  ~newline~ But the poor Duckling which had crept last out of the egg  and looked so ugly  was bitten and pushed and jeered  as much by the ducks as by the chickens  ~newline~ The poor Duckling did not know where it should stand or walk  it was quite melancholy because it looked ugly  and was the butt of the whole duck yard  ~newline~ The poor Duckling was hunted about by every one  even its brothers and sisters were quite angry with it  and said   If the cat would only catch you  you ugly creature   And the mother said   If you were only far away   And the ducks bit it  and the chickens beat it  and the girl who had to feed the poultry kicked at it with her foot  ~newline~  That is because I am so ugly   thought the Duckling  and it shut its eyes  but flew on farther  and so it came out into the great moor  where the wild ducks lived  ~newline~  You are remarkably ugly   said the Wild Ducks  ~newline~  You re so ugly that I like you  ~newline~ Near here  in another moor  there are a few sweet lovely wild geese  all unmarried  and all able to say  Rap   You ve a chance of making your fortune  ugly as you are    Piff  ~newline~ His tongue hung far out of his mouth  and his eyes gleamed horrible and ugly  he thrust out his nose close against the Duckling  showed his sharp teeth  and splash  splash  on he went  without seizing it  ~newline~  I am so ugly that even the dog does not like to bite me   And so it lay quite quiet  while the shots rattled through the reeds and gun after gun was fired  ~newline~ and the ugly Duckling felt quite strangely as it watched them  ~newline~ It would have been glad if only the ducks would have endured its company the poor  ugly creature  ~newline~  I will fly away to them  to the royal birds  and they will beat me  because I  that am so ugly  dare to come near them  ~newline~ it was no longer a clumsy dark gray bird  ugly and hateful to look at  but a swan 
23,The Ugly Duckling,duck,It was just as wild there as in the deepest wood  and here sat a Duck upon her nest  she had to hatch her ducklings  but she was almost tired out before the little ones came and then she so seldom had visitors  ~newline~ The other ducks liked better to swim about in the canals than to run up to sit down under a burdock  and cackle with her  ~newline~ Now  only look at the others  are they not the prettiest little ducks one could possibly see  ~newline~  It s a very large duckling   said she   none of the others look like that  ~newline~ quack   she said  and one duckling after another plunged in  ~newline~ come with me  and I ll lead you out into the great world  and present you in the duck yard  but keep close to me  so that no one may tread on you  and take care of the cats   And so they came into the duck yard  ~newline~ she has a red rag round her leg  that s something particularly fine  and the greatest distinction a duck can enjoy  it signifies that one does not want to lose her  and that she s to be known by the animals and by men too  ~newline~ Shake yourselves don t turn in your toes  a well brought up duck turns its toes quite out  just like father and mother so  ~newline~ Now bend your necks and say  Quack    And they did so  but the other ducks round about looked at them  and said quite boldly  Created for Lit Go on the web at fcit usf edu       The Ugly Duckling Hans Christian Andersen  Look there  ~newline~ And fie  how that duckling yonder looks  we won t stand that   And one duck flew up at it  and bit it in the neck  ~newline~ He makes his way already    The other ducklings are graceful enough   said the old Duck  ~newline~ But the poor Duckling which had crept last out of the egg  and looked so ugly  was bitten and pushed and jeered  as much by the ducks as by the chickens  ~newline~ The poor Duckling did not know where it should stand or walk  it was quite melancholy because it looked ugly  and was the butt of the whole duck yard  ~newline~ The poor Duckling was hunted about by every one  even its brothers and sisters were quite angry with it  and said   If the cat would only catch you  you ugly creature   And the mother said   If you were only far away   And the ducks bit it  and the chickens beat it  and the girl who had to feed the poultry kicked at it with her foot  ~newline~  That is because I am so ugly   thought the Duckling  and it shut its eyes  but flew on farther  and so it came out into the great moor  where the wild ducks lived  ~newline~ Towards morning the wild ducks flew up  and looked at their new companion  ~newline~  What s this   said the woman  and looked all round  but she could not see well  and therefore she thought the Duckling was a fat duck that had strayed  ~newline~  Now I shall have duck s eggs  ~newline~ It would have been glad if only the ducks would have endured its company the poor  ugly creature  ~newline~ Better to be killed by them than to be pursued by ducks  and beaten by fowls  and pushed about by the girl who takes care of the poultry yard  and to suffer hunger in winter   And it flew out into the water  and swam towards the beautiful swans  these looked at it  and came sailing down upon it with outspread wings  ~newline~ It matters nothing if one is born in a duck yard if one has only lain in a swan s egg 
23,The Ugly Duckling,water,In the midst of the sunshine there lay an old farm  with deep canals about it  and from the wall down to the water grew great burdocks  so high that little children could stand upright under the loftiest of them  ~newline~ I was once cheated in that way  and had much anxiety and trouble with the young ones  for they are afraid of the water  ~newline~ It must go into the water  even if I have to thrust it in myself   The next day it was bright  beautiful weather  the sun shone on all the green trees  ~newline~ she jumped into the water  ~newline~ The water closed over their heads  but they came up in an instant  and swam capitally  their legs went of themselves  and they were all in the water  ~newline~ it certainly did not think of marrying  and only hoped to obtain leave to lie among the reeds and drink some of the swamp water  ~newline~ paff   resounded through the air  and the two ganders fell down dead in the swamp  and the water became blood red  ~newline~ The blue smoke rose up like clouds among the dark trees  and was wafted far away across the water  and the hunting dogs came splash  splash  into the swamp  and the rushes and the reeds bent down on every side  ~newline~  No    Then will you hold your tongue   And the Cat said   Can you curve your back  and purr  and give out sparks    No    Then you will please have no opinion of your own when sensible folks are speaking   And the Duckling sat in a corner and was melancholy  then the fresh air and the sunshine streamed in  and it was seized with such a strange longing to swim on the water  that it could not help telling the Hen of it  ~newline~ Lay eggs  or purr  and they will pass over    But it is so charming to swim on the water   said the Duckling   so refreshing to let it close above one s head  and to dive down to the bottom    Yes  that must be a mighty pleasure  truly   quoth the Hen   I fancy you must have gone crazy  ~newline~ Ask the Cat about it he s the cleverest animal I know ask him if he likes to swim on the water  or to dive down I won t speak about myself  ~newline~ Do you think she has any desire to swim  and to let the water close above her head    You don t understand me   said the Duckling  ~newline~ It swam on the water  and dived  but it was slighted by every creature because of its ugliness  ~newline~ It turned round and round in the water like a wheel  stretched out its neck towards them  and uttered such a strange loud cry as frightened itself  ~newline~ The Duckling was forced to swim about in the water  to prevent the surface from freezing entirely  but every night the hole in which it swam about became smaller and smaller  ~newline~ and from the thicket came three glorious white swans  they rustled their wings  and swam lightly on the water  ~newline~ Better to be killed by them than to be pursued by ducks  and beaten by fowls  and pushed about by the girl who takes care of the poultry yard  and to suffer hunger in winter   And it flew out into the water  and swam towards the beautiful swans  these looked at it  and came sailing down upon it with outspread wings  ~newline~  Kill me   said the poor creature  and bent its head down upon the water  expecting nothing but death  ~newline~ But what was this that it saw in the clear water  ~newline~ Into the garden came little children  who threw bread and corn into the water  and the youngest cried   There is a new one   and the other children shouted joyously   Yes  a new one has arrived   And they clapped their hands and danced about  and ran to their father and mother  and bread and cake were thrown into the water  and they all said   The new one is the most beautiful of all  ~newline~ Even the elder tree bent its branches straight down into the water before him  and the sun shone warm and mild 
17,The Ugly Duckling,came,quack   they said  and they all came quacking out as fast as they could  looking all round them under the green leaves  and the mother let them look as much as they chose  for green is good for the eye  ~newline~ It was just as wild there as in the deepest wood  and here sat a Duck upon her nest  she had to hatch her ducklings  but she was almost tired out before the little ones came and then she so seldom had visitors  ~newline~ The water closed over their heads  but they came up in an instant  and swam capitally  their legs went of themselves  and they were all in the water  ~newline~ come with me  and I ll lead you out into the great world  and present you in the duck yard  but keep close to me  so that no one may tread on you  and take care of the cats   And so they came into the duck yard  ~newline~ So it went on the first day  and afterwards it became worse and worse  ~newline~  That is because I am so ugly   thought the Duckling  and it shut its eyes  but flew on farther  and so it came out into the great moor  where the wild ducks lived  ~newline~ Thus it lay two whole days  then came thither two wild geese  or  properly speaking  two wild ganders  ~newline~ paff   resounded through the air  and the two ganders fell down dead in the swamp  and the water became blood red  ~newline~ The blue smoke rose up like clouds among the dark trees  and was wafted far away across the water  and the hunting dogs came splash  splash  into the swamp  and the rushes and the reeds bent down on every side  ~newline~ Towards evening the Duck came to a little miserable peasant s hut  ~newline~ We must try that   And so the Duckling was admitted on trial for three weeks  but no eggs came  ~newline~ Now came the autumn  ~newline~ One evening the sun was just setting in his beauty there came a whole flock of great  handsome birds out of the bushes  ~newline~ it could not forget those beautiful  happy birds  and so soon as it could see them no longer  it dived down to the very bottom  and when it came up again it was quite beside itself  ~newline~ The Duckling was forced to swim about in the water  to prevent the surface from freezing entirely  but every night the hole in which it swam about became smaller and smaller  ~newline~ At last it became exhausted  and lay quite still  and thus froze fast into the ice  ~newline~ Early in the morning a peasant came by  and when he saw what had happened  he took his wooden shoe  broke the ice crust to pieces  and carried the Duckling home to his wife  ~newline~ Then it came to itself again  ~newline~ and from the thicket came three glorious white swans  they rustled their wings  and swam lightly on the water  ~newline~ Better to be killed by them than to be pursued by ducks  and beaten by fowls  and pushed about by the girl who takes care of the poultry yard  and to suffer hunger in winter   And it flew out into the water  and swam towards the beautiful swans  these looked at it  and came sailing down upon it with outspread wings  ~newline~ Into the garden came little children  who threw bread and corn into the water  and the youngest cried   There is a new one   and the other children shouted joyously   Yes  a new one has arrived   And they clapped their hands and danced about  and ran to their father and mother  and bread and cake were thrown into the water  and they all said   The new one is the most beautiful of all 
16,The Ugly Duckling,could,quack   they said  and they all came quacking out as fast as they could  looking all round them under the green leaves  and the mother let them look as much as they chose  for green is good for the eye  ~newline~ In the midst of the sunshine there lay an old farm  with deep canals about it  and from the wall down to the water grew great burdocks  so high that little children could stand upright under the loftiest of them  ~newline~ Now  only look at the others  are they not the prettiest little ducks one could possibly see  ~newline~ Must I say it to you  I could not get them to venture in  ~newline~ I wish she could bear it over again    That cannot be done  my lady   replied the Mother Duck  ~newline~  What sort of a one are you   they asked  and the Duckling turned in every direction  and bowed as well as it could  ~newline~ At last  late in the day  all was still  but the poor Duckling did not dare to rise up  it waited several hours before it looked round  and then hastened away out of the moor as fast as it could  ~newline~ Then the Duckling noticed that one of the hinges of the door had given way  and the door hung so slanting that the Duckling could slip through the crack into the room  and that is what it did  ~newline~ And the Cat  whom she called Sonnie  could arch his back and purr  he could even give out sparks  but to make him do it one had to stroke his fur the wrong way  ~newline~  What s this   said the woman  and looked all round  but she could not see well  and therefore she thought the Duckling was a fat duck that had strayed  ~newline~  No    Then will you hold your tongue   And the Cat said   Can you curve your back  and purr  and give out sparks    No    Then you will please have no opinion of your own when sensible folks are speaking   And the Duckling sat in a corner and was melancholy  then the fresh air and the sunshine streamed in  and it was seized with such a strange longing to swim on the water  that it could not help telling the Hen of it  ~newline~ it could not forget those beautiful  happy birds  and so soon as it could see them no longer  it dived down to the very bottom  and when it came up again it was quite beside itself  ~newline~ How could it think of wishing to possess such loveliness as they had  ~newline~ Then all at once the Duckling could flap its wings 
15,The Ugly Duckling,quite, That stretches far across the other side of the garden  quite into the parson s field  but I have never been there yet  ~newline~ On the whole it s quite pretty  if one looks at it rightly  ~newline~ Shake yourselves don t turn in your toes  a well brought up duck turns its toes quite out  just like father and mother so  ~newline~ Now bend your necks and say  Quack    And they did so  but the other ducks round about looked at them  and said quite boldly  Created for Lit Go on the web at fcit usf edu       The Ugly Duckling Hans Christian Andersen  Look there  ~newline~ And the turkey cock  who had been born with spurs  and therefore thought himself an emperor  blew himself up like a ship in full sail  and bore straight down upon it  then he gobbled and grew quite red in the face  ~newline~ The poor Duckling did not know where it should stand or walk  it was quite melancholy because it looked ugly  and was the butt of the whole duck yard  ~newline~ The poor Duckling was hunted about by every one  even its brothers and sisters were quite angry with it  and said   If the cat would only catch you  you ugly creature   And the mother said   If you were only far away   And the ducks bit it  and the chickens beat it  and the girl who had to feed the poultry kicked at it with her foot  ~newline~  I am so ugly that even the dog does not like to bite me   And so it lay quite quiet  while the shots rattled through the reeds and gun after gun was fired  ~newline~ The Hen had quite little  short legs  and therefore she was called  Created for Lit Go on the web at fcit usf edu       The Ugly Duckling Hans Christian Andersen Chickabiddy Short shanks  ~newline~ and the ugly Duckling felt quite strangely as it watched them  ~newline~ it could not forget those beautiful  happy birds  and so soon as it could see them no longer  it dived down to the very bottom  and when it came up again it was quite beside itself  ~newline~ At last it became exhausted  and lay quite still  and thus froze fast into the ice  ~newline~ The woman screamed  and struck at it with the fire tongs  the children tumbled over one another in their efforts to catch the Duckling  and they laughed and they screamed   well it was that the door stood open  and the poor creature was able to slip out between the shrubs into the newly fallen snow there it lay quite exhausted  ~newline~ It felt quite glad at all the need and misfortune it had suffered  now it realised its happiness in all the splendour that surrounded it  ~newline~ Then he felt quite ashamed  and hid his head under his wings  for he did not know what to do  he was so happy  and yet not at all proud 
12,The Ugly Duckling,egg,Created for Lit Go on the web at fcit usf edu       At last one egg shell after another burst open  ~newline~ piep   it cried  and in all the eggs there were little creatures that stuck out their heads  ~newline~   H o w wide the world is   said all the young ones  for they certainly had much more room now than when they were in the eggs  ~newline~ The largest egg still lies there  ~newline~  It lasts a long time with that one egg   said the Duck who sat there  ~newline~ The rogue  he never comes to see me    Let me see the egg which will not burst   said the old visitor  ~newline~  You may be sure it is a turkey s egg  ~newline~ Let me see the egg  ~newline~ Yes  that s a turkey s egg  ~newline~ At last the great egg burst  ~newline~ I think it will grow up pretty  and become smaller in time  it has lain too long in the egg  and therefore is not properly shaped   And then she pinched it in the neck  and smoothed its feathers  ~newline~ But the poor Duckling which had crept last out of the egg  and looked so ugly  was bitten and pushed and jeered  as much by the ducks as by the chickens  ~newline~ It was not long since each had crept out of an egg  and that s why they were so saucy  ~newline~ She laid good eggs  and the woman loved her like her own child  ~newline~  Now I shall have duck s eggs  ~newline~ We must try that   And so the Duckling was admitted on trial for three weeks  but no eggs came  ~newline~  Can you lay eggs   she asked  ~newline~ Lay eggs  or purr  and they will pass over    But it is so charming to swim on the water   said the Duckling   so refreshing to let it close above one s head  and to dive down to the bottom    Yes  that must be a mighty pleasure  truly   quoth the Hen   I fancy you must have gone crazy  ~newline~ Only take care that you learn to lay eggs  or to purr  and give out sparks    I think I will go out into the wide world   said the Duckling  ~newline~ It matters nothing if one is born in a duck yard if one has only lain in a swan s egg 
